PlayerID,Name,Team,Position,Age,SF Value
marvin-harrison-jr-1585,Marvin Harrison Jr.,ARI,WR,21,8029
caleb-williams-1550,Caleb Williams,CHI,QB,22,7570
malik-nabers-1586,Malik Nabers,NYG,WR,20,6633
jayden-daniels-1552,Jayden Daniels,WAS,QB,23,6605
rome-odunze-1587,Rome Odunze,CHI,WR,22,5676
brock-bowers-1612,Brock Bowers,LVR,TE,21,5185
drake-maye-1551,Drake Maye,NEP,QB,21,5134
jj-mccarthy-1555,J.J. McCarthy,MIN,QB,21,4839
jonathon-brooks-1568,Jonathon Brooks,CAR,RB,21,4787
brian-thomas-jr-1589,Brian Thomas Jr.,JAC,WR,21,4583
xavier-worthy-1591,Xavier Worthy,KCC,WR,21,4377
ladd-mcconkey-1598,Ladd McConkey,LAC,WR,22,4298
trey-benson-1565,Trey Benson,ARI,RB,22,3932
keon-coleman-1588,Keon Coleman,BUF,WR,21,3800
michael-penix-jr-1554,Michael Penix Jr.,ATL,QB,24,3793
bo-nix-1553,Bo Nix,DEN,QB,24,3712
ricky-pearsall-1593,Ricky Pearsall,SFO,WR,23,3511
xavier-legette-1610,Xavier Legette,CAR,WR,23,3309
adonai-mitchell-1597,Adonai Mitchell,IND,WR,21,3225
blake-corum-1564,Blake Corum,LAR,RB,23,3147
ja-lynn-polk-1602,Ja'Lynn Polk,NEP,WR,22,3127
marshawn-lloyd-1575,MarShawn Lloyd,GBP,RB,23,2937
jaylen-wright-1581,Jaylen Wright,MIA,RB,21,2853
ben-sinnott-1615,Ben Sinnott,WAS,TE,22,2820
jermaine-burton-1603,Jermaine Burton,CIN,WR,23,2788
roman-wilson-1600,Roman Wilson,PIT,WR,23,2765
troy-franklin-1590,Troy Franklin,DEN,WR,21,2728
javon-baker-1608,Javon Baker,NEP,WR,22,2447
kimani-vidal-1636,Kimani Vidal,LAC,RB,22,2400
audric-estime-1566,Audric Estime,DEN,RB,20,2352
jalen-mcmillan-1599,Jalen McMillan,TBB,WR,22,2337
luke-mccaffrey-1606,Luke McCaffrey,WAS,WR,23,2316
malachi-corley-1607,Malachi Corley,NYJ,WR,22,2299
braelon-allen-1567,Braelon Allen,NYJ,RB,20,2219
bucky-irving-1569,Bucky Irving,TBB,RB,21,2218
ja-tavion-sanders-1614,Ja'Tavion Sanders,CAR,TE,21,2217
ray-davis-1574,Ray Davis,BUF,RB,24,2081
tyrone-tracy-1632,Tyrone Tracy,NYG,RB,24,2032
spencer-rattler-1557,Spencer Rattler,NOS,QB,23,1868
will-shipley-1572,Will Shipley,PHI,RB,21,1861
malik-washington-1623,Malik Washington,MIA,WR,23,1832
devontez-walker-1592,Devontez Walker,BAL,WR,23,1743
theo-johnson-1620,Theo Johnson,NYG,TE,23,1682
dylan-laube-1584,Dylan Laube,LVR,RB,24,1635
isaac-guerendo-1626,Isaac Guerendo,SFO,RB,24,1629
rasheen-ali-1631,Rasheen Ali,BAL,RB,23,1612
brenden-rice-1594,Brenden Rice,LAC,WR,22,1598
erick-all-1616,Erick All,CIN,TE,23,1485
cade-stover-1613,Cade Stover,HOU,TE,24,1437
jared-wiley-1619,Jared Wiley,KCC,TE,23,1397
