PlayerID,Name,Team,Position,Age,SF Value
marvin-harrison-jr-1585,Marvin Harrison Jr.,ARI,WR,22,8045
caleb-williams-1550,Caleb Williams,CHI,QB,22,7711
jayden-daniels-1552,Jayden Daniels,WAS,QB,23,6682
malik-nabers-1586,Malik Nabers,NYG,WR,21,6571
rome-odunze-1587,Rome Odunze,CHI,WR,22,5651
brock-bowers-1612,Brock Bowers,LVR,TE,21,5219
drake-maye-1551,Drake Maye,NEP,QB,21,5137
jonathon-brooks-1568,Jonathon Brooks,CAR,RB,21,4840
jj-mccarthy-1555,J.J. McCarthy,MIN,QB,21,4830
brian-thomas-jr-1589,Brian Thomas Jr.,JAC,WR,21,4647
xavier-worthy-1591,Xavier Worthy,KCC,WR,21,4407
ladd-mcconkey-1598,Ladd McConkey,LAC,WR,22,4343
trey-benson-1565,Trey Benson,ARI,RB,22,3950
michael-penix-jr-1554,Michael Penix Jr.,ATL,QB,24,3838
keon-coleman-1588,Keon Coleman,BUF,WR,21,3730
bo-nix-1553,Bo Nix,DEN,QB,24,3699
ricky-pearsall-1593,Ricky Pearsall,SFO,WR,23,3539
adonai-mitchell-1597,Adonai Mitchell,IND,WR,21,3273
blake-corum-1564,Blake Corum,LAR,RB,23,3251
xavier-legette-1610,Xavier Legette,CAR,WR,23,3203
ja-lynn-polk-1602,Ja'Lynn Polk,NEP,WR,22,3039
marshawn-lloyd-1575,MarShawn Lloyd,GBP,RB,23,2926
jaylen-wright-1581,Jaylen Wright,MIA,RB,21,2838
jermaine-burton-1603,Jermaine Burton,CIN,WR,23,2831
roman-wilson-1600,Roman Wilson,PIT,WR,23,2738
ben-sinnott-1615,Ben Sinnott,WAS,TE,22,2702
troy-franklin-1590,Troy Franklin,DEN,WR,21,2699
javon-baker-1608,Javon Baker,NEP,WR,22,2439
kimani-vidal-1636,Kimani Vidal,LAC,RB,22,2415
audric-estime-1566,Audric Estime,DEN,RB,20,2400
malachi-corley-1607,Malachi Corley,NYJ,WR,22,2343
luke-mccaffrey-1606,Luke McCaffrey,WAS,WR,23,2319
jalen-mcmillan-1599,Jalen McMillan,TBB,WR,22,2291
braelon-allen-1567,Braelon Allen,NYJ,RB,20,2263
ja-tavion-sanders-1614,Ja'Tavion Sanders,CAR,TE,21,2241
bucky-irving-1569,Bucky Irving,TBB,RB,21,2222
ray-davis-1574,Ray Davis,BUF,RB,24,2113
tyrone-tracy-1632,Tyrone Tracy,NYG,RB,24,2065
spencer-rattler-1557,Spencer Rattler,NOS,QB,23,1861
devontez-walker-1592,Devontez Walker,BAL,WR,23,1774
will-shipley-1572,Will Shipley,PHI,RB,21,1759
malik-washington-1623,Malik Washington,MIA,WR,23,1740
theo-johnson-1620,Theo Johnson,NYG,TE,23,1712
brenden-rice-1594,Brenden Rice,LAC,WR,22,1646
dylan-laube-1584,Dylan Laube,LVR,RB,24,1631
isaac-guerendo-1626,Isaac Guerendo,SFO,RB,24,1617
rasheen-ali-1631,Rasheen Ali,BAL,RB,23,1576
erick-all-1616,Erick All,CIN,TE,23,1500
cade-stover-1613,Cade Stover,HOU,TE,24,1420
jacob-cowing-1611,Jacob Cowing,SFO,WR,23,1412
