PlayerID,Name,Team,Position,Age,SF Value
marvin-harrison-jr-1585,Marvin Harrison Jr.,ARI,WR,21,8085
caleb-williams-1550,Caleb Williams,CHI,QB,22,7596
malik-nabers-1586,Malik Nabers,NYG,WR,20,6668
jayden-daniels-1552,Jayden Daniels,WAS,QB,23,6536
rome-odunze-1587,Rome Odunze,CHI,WR,22,5715
brock-bowers-1612,Brock Bowers,LVR,TE,21,5226
drake-maye-1551,Drake Maye,NEP,QB,21,5167
jj-mccarthy-1555,J.J. McCarthy,MIN,QB,21,4896
jonathon-brooks-1568,Jonathon Brooks,CAR,RB,20,4879
brian-thomas-jr-1589,Brian Thomas Jr.,JAC,WR,21,4632
ladd-mcconkey-1598,Ladd McConkey,LAC,WR,22,4500
xavier-worthy-1591,Xavier Worthy,KCC,WR,21,4416
trey-benson-1565,Trey Benson,ARI,RB,21,4025
keon-coleman-1588,Keon Coleman,BUF,WR,21,3985
bo-nix-1553,Bo Nix,DEN,QB,24,3765
michael-penix-jr-1554,Michael Penix Jr.,ATL,QB,24,3666
ricky-pearsall-1593,Ricky Pearsall,SFO,WR,23,3620
xavier-legette-1610,Xavier Legette,CAR,WR,23,3342
adonai-mitchell-1597,Adonai Mitchell,IND,WR,21,3319
blake-corum-1564,Blake Corum,LAR,RB,23,3244
ja-lynn-polk-1602,Ja'Lynn Polk,NEP,WR,22,3010
marshawn-lloyd-1575,MarShawn Lloyd,GBP,RB,23,2934
jaylen-wright-1581,Jaylen Wright,MIA,RB,21,2887
roman-wilson-1600,Roman Wilson,PIT,WR,23,2872
jermaine-burton-1603,Jermaine Burton,CIN,WR,23,2866
ben-sinnott-1615,Ben Sinnott,WAS,TE,22,2845
troy-franklin-1590,Troy Franklin,DEN,WR,21,2789
malachi-corley-1607,Malachi Corley,NYJ,WR,22,2532
javon-baker-1608,Javon Baker,NEP,WR,22,2467
kimani-vidal-1636,Kimani Vidal,LAC,RB,22,2435
jalen-mcmillan-1599,Jalen McMillan,TBB,WR,22,2320
luke-mccaffrey-1606,Luke McCaffrey,WAS,WR,23,2278
audric-estime-1566,Audric Estime,DEN,RB,20,2264
braelon-allen-1567,Braelon Allen,NYJ,RB,20,2255
bucky-irving-1569,Bucky Irving,TBB,RB,21,2203
ja-tavion-sanders-1614,Ja'Tavion Sanders,CAR,TE,21,2175
tyrone-tracy-1632,Tyrone Tracy,NYG,RB,24,2106
spencer-rattler-1557,Spencer Rattler,NOS,QB,23,2028
ray-davis-1574,Ray Davis,BUF,RB,24,1965
will-shipley-1572,Will Shipley,PHI,RB,21,1947
theo-johnson-1620,Theo Johnson,NYG,TE,23,1865
devontez-walker-1592,Devontez Walker,BAL,WR,23,1751
brenden-rice-1594,Brenden Rice,LAC,WR,22,1731
dylan-laube-1584,Dylan Laube,LVR,RB,24,1706
isaac-guerendo-1626,Isaac Guerendo,SFO,RB,24,1697
malik-washington-1623,Malik Washington,MIA,WR,23,1651
rasheen-ali-1631,Rasheen Ali,BAL,RB,23,1625
erick-all-1616,Erick All,CIN,TE,23,1564
cade-stover-1613,Cade Stover,HOU,TE,24,1480
jordan-travis-1560,Jordan Travis,NYJ,QB,24,1450
