Player,Matched_Player_Name,Position,Team,Age,JB Trade Value,KTC Trade Value,JB_normalized,KTC_normalized,Value_Difference,weighted_avg_trade_value,BestMatch,free_agent_indicator,rostered_indicator
Justin Jefferson,Justin Jefferson,WR,MIN,25.0,76,9999,100,100,0,233.0,,0,0
Ja'Marr Chase,Ja'Marr Chase,WR,CIN,24.0,75,9974,98,99,-1,229.0,,0,0
CeeDee Lamb,CeeDee Lamb,WR,DAL,25.0,74,9997,97,99,-2,227.0,,0,0
Amon-Ra St. Brown,Amon-Ra St. Brown,WR,DET,24.0,71,9415,93,94,-1,217.0,,0,0
Garrett Wilson,Garrett Wilson,WR,NYJ,24.0,70,7918,92,79,13,210.0,Garrett Wilson,0,1
Puka Nacua,Puka Nacua,WR,LAR,23.0,70,8063,92,80,12,211.0,,0,0
Marvin Harrison Jr.,Marvin Harrison Jr.,WR,ARI,21.0,69,8914,90,89,1,210.0,,0,0
Bijan Robinson,Bijan Robinson,RB,ATL,22.0,69,9522,90,95,-5,212.0,,0,0
Breece Hall,Breece Hall,RB,NYJ,23.0,68,8781,89,87,2,207.0,,0,0
Josh Allen,Josh Allen,QB,BUF,28.0,64,7826,84,78,6,194.0,Josh Allen,0,1
Malik Nabers,Malik Nabers,WR,NYG,20.0,63,7606,82,75,7,189.0,,0,0
Jahmyr Gibbs,Jahmyr Gibbs,RB,DET,22.0,63,8336,82,83,-1,192.0,,0,0
A.J. Brown,A.J. Brown,WR,PHI,27.0,62,7826,81,78,3,188.0,,0,0
Patrick Mahomes II,Patrick Mahomes,QB,KCC,28.0,62,7727,81,77,4,188.0,,0,0
Christian McCaffrey,Christian McCaffrey,RB,SFO,28.0,61,8045,80,80,0,187.0,,0,0
Tyreek Hill,Tyreek Hill,WR,MIA,30.0,60,7117,78,71,7,180.0,,0,0
Jonathan Taylor,Jonathan Taylor,RB,IND,25.0,60,6987,78,69,9,179.0,,0,0
Brandon Aiyuk,Brandon Aiyuk,WR,SFO,26.0,59,6743,77,67,10,176.0,,0,0
Drake London,Drake London,WR,ATL,23.0,59,7035,77,70,7,177.0,,0,0
Chris Olave,Chris Olave,WR,NOS,24.0,58,7095,76,70,6,175.0,Chris Olave,0,1
C.J. Stroud,C.J. Stroud,QB,HOU,22.0,58,6910,76,68,8,175.0,,0,0
Jaylen Waddle,Jaylen Waddle,WR,MIA,25.0,57,7080,75,70,5,173.0,,0,0
Nico Collins,Nico Collins,WR,HOU,25.0,56,6736,73,67,6,168.0,Nico Collins,0,1
Jalen Hurts,Jalen Hurts,QB,PHI,25.0,55,6715,72,66,6,166.0,,0,0
De'Von Achane,De'Von Achane,RB,MIA,22.0,55,6543,72,65,7,166.0,,0,0
Lamar Jackson,Lamar Jackson,QB,BAL,27.0,54,6695,71,66,5,164.0,,0,0
DK Metcalf,DK Metcalf,WR,SEA,26.0,54,6397,71,63,8,163.0,,0,0
DeVonta Smith,DeVonta Smith,WR,PHI,25.0,54,6659,71,66,5,164.0,,0,0
DJ Moore,D.J. Moore,WR,CHI,27.0,52,6166,68,61,7,156.0,,0,0
George Pickens,George Pickens,WR,PIT,23.0,51,6044,67,60,7,154.0,,0,0
Travis Etienne Jr.,Travis Etienne,RB,JAC,25.0,50,6504,65,64,1,151.0,,0,0
Anthony Richardson,Anthony Richardson,QB,IND,22.0,49,6501,64,64,0,149.0,,0,0
Tank Dell,Tank Dell,WR,HOU,24.0,49,6183,64,61,3,148.0,,0,0
Rome Odunze,Rome Odunze,WR,CHI,22.0,48,6753,63,67,-4,148.0,,0,0
Joe Burrow,Joe Burrow,QB,CIN,27.0,47,6201,61,61,0,142.0,,0,0
Saquon Barkley,Saquon Barkley,RB,PHI,27.0,47,6198,61,61,0,142.0,,0,0
Kenneth Walker III,Kenneth Walker III,RB,SEA,23.0,45,5862,59,58,1,137.0,,0,0
Kyren Williams,Kyren Williams,RB,LAR,23.0,45,6207,59,61,-2,138.0,Kyren Williams,0,1
Michael Pittman Jr.,Michael Pittman,WR,IND,26.0,45,6185,59,61,-2,138.0,Michael Pittman,0,1
Tee Higgins,Tee Higgins,WR,CIN,25.0,45,6071,59,60,-1,138.0,,0,0
Sam LaPorta,Sam LaPorta,TE,DET,23.0,45,7806,59,77,-18,144.0,,0,0
Xavier Worthy,Xavier Worthy,WR,KCC,21.0,44,5633,57,56,1,133.0,,0,0
Rashee Rice,Rashee Rice,WR,KCC,24.0,44,5148,57,51,6,131.0,,0,0
James Cook,James Cook,RB,BUF,24.0,43,5620,56,55,1,130.0,,0,0
Jaxon Smith-Njigba,Jaxon Smith-Njigba,WR,SEA,22.0,43,5992,56,59,-3,132.0,,0,0
Zay Flowers,Zay Flowers,WR,BAL,23.0,43,6149,56,61,-5,132.0,,0,0
Caleb Williams,Caleb Williams,QB,CHI,22.0,43,5951,56,59,-3,132.0,,0,0
Kyler Murray,Kyler Murray,QB,ARI,26.0,42,5525,55,55,0,128.0,,0,0
Dalton Kincaid,Dalton Kincaid,TE,BUF,24.0,41,6424,53,64,-11,127.0,,0,0
Deebo Samuel Sr.,Deebo Samuel,WR,SFO,28.0,41,5437,53,54,-1,124.0,,0,0
Isiah Pacheco,Isiah Pacheco,RB,KCC,25.0,40,5798,52,57,-5,123.0,,0,0
Trey McBride,Trey McBride,TE,ARI,24.0,40,6443,52,64,-12,125.0,,0,0
Justin Herbert,Justin Herbert,QB,LAC,26.0,40,5803,52,57,-5,123.0,,0,0
Mike Evans,Mike Evans,WR,TBB,30.0,39,5050,51,50,1,119.0,,0,0
Brian Thomas Jr.,Brian Thomas Jr.,WR,JAC,21.0,39,5683,51,56,-5,121.0,,0,0
Davante Adams,Davante Adams,WR,LVR,31.0,39,4998,51,49,2,118.0,,0,0
Jayden Reed,Jayden Reed,WR,GBP,24.0,39,5355,51,53,-2,120.0,,0,0
Jonathon Brooks,Jonathon Brooks,RB,CAR,21.0,39,6082,51,60,-9,122.0,,0,0
Christian Kirk,Christian Kirk,WR,JAC,27.0,38,4770,50,47,3,116.0,,0,0
Mark Andrews,Mark Andrews,TE,BAL,28.0,38,5818,50,57,-7,119.0,,0,0
Brock Bowers,Brock Bowers,TE,LVR,21.0,37,6252,48,62,-14,117.0,,0,0
Josh Jacobs,Josh Jacobs,RB,GBP,26.0,37,5160,48,51,-3,113.0,,0,0
Stefon Diggs,Stefon Diggs,WR,HOU,30.0,37,4346,48,43,5,110.0,,0,0
Ladd McConkey,Ladd McConkey,WR,LAC,22.0,37,5642,48,56,-8,115.0,,0,0
Kyle Pitts,Kyle Pitts,TE,ATL,23.0,37,6002,48,59,-11,116.0,,0,0
Jordan Addison,Jordan Addison,WR,MIN,22.0,36,5913,47,58,-11,113.0,,0,0
Amari Cooper,Amari Cooper,WR,CLE,30.0,36,4651,47,46,1,109.0,,0,0
Rachaad White,Rachaad White,RB,TBB,25.0,36,5463,47,54,-7,112.0,,0,0
Terry McLaurin,Terry McLaurin,WR,WAS,28.0,35,4537,46,45,1,107.0,,0,0
Cooper Kupp,Cooper Kupp,WR,LAR,31.0,35,4710,46,46,0,107.0,,0,0
T.J. Hockenson,T.J. Hockenson,TE,MIN,27.0,35,5256,46,52,-6,109.0,,0,0
Jordan Love,Jordan Love,QB,GBP,25.0,35,5804,46,57,-11,111.0,,0,0
Chris Godwin,Chris Godwin,WR,TBB,28.0,34,4357,44,43,1,102.0,,0,0
Trey Benson,Trey Benson,RB,ARI,22.0,34,5198,44,51,-7,105.0,,0,0
D'Andre Swift,D'Andre Swift,RB,CHI,25.0,33,4505,43,44,-1,101.0,,0,0
Travis Kelce,Travis Kelce,TE,KCC,34.0,33,4925,43,48,-5,102.0,,0,0
Keon Coleman,Keon Coleman,WR,BUF,21.0,32,5120,42,50,-8,101.0,,0,0
Calvin Ridley,Calvin Ridley,WR,TEN,29.0,32,4093,42,40,2,97.0,Calvin Ridley,0,1
Joe Mixon,Joe Mixon,RB,HOU,28.0,32,4409,42,43,-1,98.0,,0,0
Alvin Kamara,Alvin Kamara,RB,NOS,29.0,32,4055,42,40,2,97.0,,0,0
Derrick Henry,Derrick Henry,RB,BAL,30.0,32,4621,42,45,-3,99.0,,0,0
Tyjae Spears,Tyjae Spears,RB,TEN,23.0,31,4367,40,43,-3,94.0,Tyjae Spears,0,1
George Kittle,George Kittle,TE,SFO,30.0,31,4305,40,42,-2,94.0,,0,0
Rhamondre Stevenson,Rhamondre Stevenson,RB,NEP,26.0,31,4846,40,48,-8,96.0,Rhamondre Stevenson,0,1
Ricky Pearsall,Ricky Pearsall,WR,SFO,23.0,31,4653,40,46,-6,95.0,,0,0
Jayden Daniels,Jayden Daniels,QB,WAS,23.0,30,5451,39,54,-15,96.0,,0,0
Brian Robinson Jr.,Brian Robinson,RB,WAS,25.0,30,4065,39,40,-1,91.0,,0,0
David Montgomery,David Montgomery,RB,DET,27.0,30,4360,39,43,-4,92.0,,0,0
Christian Watson,Christian Watson,WR,GBP,25.0,30,4548,39,45,-6,93.0,,0,0
Najee Harris,Najee Harris,RB,PIT,26.0,29,4279,38,42,-4,90.0,,0,0
Trevor Lawrence,Trevor Lawrence,QB,JAC,24.0,29,4789,38,47,-9,92.0,,0,0
Adonai Mitchell,Adonai Mitchell,WR,IND,21.0,29,4269,38,42,-4,90.0,,0,0
Brock Purdy,Brock Purdy,QB,SFO,24.0,29,4520,38,44,-6,91.0,,0,0
Tony Pollard,Tony Pollard,RB,TEN,27.0,29,3812,38,37,1,88.0,,0,0
Dak Prescott,Dak Prescott,QB,DAL,30.0,28,4336,36,43,-7,86.0,,0,0
Aaron Jones,Aaron Jones,RB,MIN,29.0,28,3555,36,35,1,84.0,,0,0
Zamir White,Zamir White,RB,LVR,24.0,28,4545,36,45,-9,87.0,,0,0
Zack Moss,Zack Moss,RB,CIN,26.0,28,3631,36,35,1,84.0,,0,0
Javonte Williams,Javonte Williams,RB,DEN,24.0,28,3811,36,37,-1,84.0,,0,0
