Player,Matched_Player_Name,Position,Team,Age,JB Trade Value,KTC Trade Value,JB_normalized,KTC_normalized,Value_Difference,weighted_avg_trade_value,BestMatch,free_agent_indicator,rostered_indicator
Justin Jefferson,Justin Jefferson,WR,MIN,25.0,76,9982,100,99,1,233.0,Justin Jefferson,0,1
Ja'Marr Chase,Ja'Marr Chase,WR,CIN,24.0,75,9999,98,100,-2,229.0,,0,0
CeeDee Lamb,CeeDee Lamb,WR,DAL,25.0,74,9994,97,99,-2,227.0,,0,0
Amon-Ra St. Brown,Amon-Ra St. Brown,WR,DET,24.0,71,9411,93,94,-1,217.0,,0,0
Garrett Wilson,Garrett Wilson,WR,NYJ,24.0,70,7888,92,78,14,210.0,Garrett Wilson,0,1
Puka Nacua,Puka Nacua,WR,LAR,23.0,70,8057,92,80,12,211.0,,0,0
Marvin Harrison Jr.,Marvin Harrison Jr.,WR,ARI,21.0,69,8929,90,89,1,210.0,,0,0
Bijan Robinson,Bijan Robinson,RB,ATL,22.0,69,9507,90,95,-5,212.0,,0,0
Breece Hall,Breece Hall,RB,NYJ,23.0,68,8816,89,88,1,207.0,,0,0
Josh Allen,Josh Allen,QB,BUF,28.0,64,7827,84,78,6,194.0,Josh Allen,0,1
Malik Nabers,Malik Nabers,WR,NYG,20.0,63,7596,82,75,7,189.0,,0,0
Jahmyr Gibbs,Jahmyr Gibbs,RB,DET,22.0,63,8374,82,83,-1,192.0,,0,0
A.J. Brown,A.J. Brown,WR,PHI,27.0,62,7805,81,78,3,188.0,,0,0
Patrick Mahomes II,Patrick Mahomes,QB,KCC,28.0,62,7734,81,77,4,188.0,,0,0
Christian McCaffrey,Christian McCaffrey,RB,SFO,28.0,61,8014,80,80,0,187.0,,0,0
Tyreek Hill,Tyreek Hill,WR,MIA,30.0,60,7193,78,71,7,180.0,,0,0
Jonathan Taylor,Jonathan Taylor,RB,IND,25.0,60,6986,78,69,9,179.0,,0,0
Brandon Aiyuk,Brandon Aiyuk,WR,SFO,26.0,59,6705,77,66,11,176.0,,0,0
Drake London,Drake London,WR,ATL,23.0,59,7004,77,69,8,177.0,,0,0
Chris Olave,Chris Olave,WR,NOS,24.0,58,7086,76,70,6,175.0,,0,0
C.J. Stroud,C.J. Stroud,QB,HOU,22.0,58,6952,76,69,7,175.0,,0,0
Jaylen Waddle,Jaylen Waddle,WR,MIA,25.0,57,7122,75,71,4,174.0,,0,0
Nico Collins,Nico Collins,WR,HOU,25.0,56,6736,73,67,6,168.0,,0,0
Jalen Hurts,Jalen Hurts,QB,PHI,25.0,55,6716,72,67,5,166.0,,0,0
De'Von Achane,De'Von Achane,RB,MIA,22.0,55,6536,72,65,7,166.0,De'Von Achane,0,1
Lamar Jackson,Lamar Jackson,QB,BAL,27.0,54,6670,71,66,5,164.0,,0,0
DK Metcalf,DK Metcalf,WR,SEA,26.0,54,6437,71,64,7,163.0,,0,0
DeVonta Smith,DeVonta Smith,WR,PHI,25.0,54,6687,71,66,5,164.0,,0,0
DJ Moore,D.J. Moore,WR,CHI,27.0,52,6144,68,61,7,156.0,,0,0
George Pickens,George Pickens,WR,PIT,23.0,51,6065,67,60,7,154.0,,0,0
Travis Etienne Jr.,Travis Etienne,RB,JAC,25.0,50,6529,65,65,0,152.0,Travis Etienne Jr.,0,1
Anthony Richardson,Anthony Richardson,QB,IND,22.0,49,6483,64,64,0,149.0,,0,0
Tank Dell,Tank Dell,WR,HOU,24.0,49,6124,64,61,3,148.0,,0,0
Rome Odunze,Rome Odunze,WR,CHI,22.0,48,6808,63,68,-5,149.0,,0,0
