Player,Matched_Player_Name,Position,Team,Age,JB Trade Value,KTC Trade Value,JB_normalized,KTC_normalized,Value_Difference,weighted_avg_trade_value,BestMatch,free_agent_indicator,rostered_indicator
Justin Jefferson,Justin Jefferson,WR,MIN,25,76,9993,100,100,0,100.0,,0,0
Ja'Marr Chase,Ja'Marr Chase,WR,CIN,24,75,9981,98,99,-1,98.0,,0,0
CeeDee Lamb,CeeDee Lamb,WR,DAL,25,74,9992,97,99,-2,98.0,,0,0
Amon-Ra St. Brown,Amon-Ra St. Brown,WR,DET,24,71,9446,93,94,-1,93.0,,0,0
Garrett Wilson,Garrett Wilson,WR,NYJ,24,70,8024,92,80,12,88.0,,0,0
Puka Nacua,Puka Nacua,WR,LAR,23,70,7961,92,79,13,88.0,,0,0
Marvin Harrison Jr.,Marvin Harrison Jr.,WR,ARI,22,69,8982,90,89,1,90.0,,0,0
Bijan Robinson,Bijan Robinson,RB,ATL,22,69,9619,90,96,-6,92.0,,0,0
Breece Hall,Breece Hall,RB,NYJ,23,68,8877,89,88,1,89.0,,0,0
Josh Allen,Josh Allen,QB,BUF,28,64,7695,84,76,8,81.0,Josh Allen,0,1
Malik Nabers,Malik Nabers,WR,NYG,21,63,7766,82,77,5,80.0,,0,0
Jahmyr Gibbs,Jahmyr Gibbs,RB,DET,22,63,8400,82,83,-1,82.0,,0,0
A.J. Brown,A.J. Brown,WR,PHI,27,62,7746,81,77,4,80.0,,0,0
Patrick Mahomes II,Patrick Mahomes,QB,KCC,28,62,7721,81,77,4,80.0,,0,0
Christian McCaffrey,Christian McCaffrey,RB,SFO,28,61,8089,80,80,0,80.0,,0,0
Tyreek Hill,Tyreek Hill,WR,MIA,30,60,7029,78,70,8,75.0,,0,0
Jonathan Taylor,Jonathan Taylor,RB,IND,25,60,7083,78,70,8,75.0,,0,0
Brandon Aiyuk,Brandon Aiyuk,WR,SFO,26,59,6674,77,66,11,73.0,,0,0
Drake London,Drake London,WR,ATL,23,59,6984,77,69,8,74.0,,0,0
Chris Olave,Chris Olave,WR,NOS,24,58,7041,76,70,6,74.0,,0,0
C.J. Stroud,C.J. Stroud,QB,HOU,22,58,6844,76,68,8,73.0,,0,0
Jaylen Waddle,Jaylen Waddle,WR,MIA,25,57,6939,75,69,6,73.0,Jaylen Waddle,0,1
Nico Collins,Nico Collins,WR,HOU,25,56,6678,73,66,7,71.0,,0,0
Jalen Hurts,Jalen Hurts,QB,PHI,26,55,6686,72,66,6,70.0,,0,0
De'Von Achane,De'Von Achane,RB,MIA,22,55,6688,72,66,6,70.0,,0,0
Lamar Jackson,Lamar Jackson,QB,BAL,27,54,6843,71,68,3,70.0,,0,0
DK Metcalf,DK Metcalf,WR,SEA,26,54,6284,71,62,9,68.0,,0,0
DeVonta Smith,DeVonta Smith,WR,PHI,25,54,6802,71,67,4,70.0,,0,0
DJ Moore,D.J. Moore,WR,CHI,27,52,6338,68,63,5,66.0,,0,0
George Pickens,George Pickens,WR,PIT,23,51,6170,67,61,6,65.0,George Pickens,0,1
Travis Etienne Jr.,Travis Etienne,RB,JAC,25,50,6553,65,65,0,65.0,,0,0
Anthony Richardson,Anthony Richardson,QB,IND,22,49,6607,64,65,-1,64.0,,0,0
Tank Dell,Tank Dell,WR,HOU,24,49,6118,64,60,4,63.0,,0,0
Rome Odunze,Rome Odunze,WR,CHI,22,48,6821,63,67,-4,64.0,,0,0
Joe Burrow,Joe Burrow,QB,CIN,27,47,6138,61,61,0,61.0,,0,0
Saquon Barkley,Saquon Barkley,RB,PHI,27,47,6146,61,61,0,61.0,,0,0
Kenneth Walker III,Kenneth Walker III,RB,SEA,23,45,5843,59,58,1,59.0,,0,0
Kyren Williams,Kyren Williams,RB,LAR,23,45,6140,59,61,-2,60.0,,0,0
Michael Pittman Jr.,Michael Pittman,WR,IND,26,45,6236,59,62,-3,60.0,,0,0
Tee Higgins,Tee Higgins,WR,CIN,25,45,6034,59,60,-1,59.0,,0,0
Sam LaPorta,Sam LaPorta,TE,DET,23,45,7537,59,75,-16,64.0,,0,0
Xavier Worthy,Xavier Worthy,WR,KCC,21,44,5487,57,54,3,56.0,,0,0
Rashee Rice,Rashee Rice,WR,KCC,24,44,5240,57,51,6,55.0,,0,0
James Cook,James Cook,RB,BUF,24,43,5641,56,56,0,56.0,,0,0
Jaxon Smith-Njigba,Jaxon Smith-Njigba,WR,SEA,22,43,5826,56,57,-1,56.0,Jaxon Smith-Njigba,0,1
Zay Flowers,Zay Flowers,WR,BAL,23,43,5966,56,59,-3,57.0,,0,0
Caleb Williams,Caleb Williams,QB,CHI,22,43,6076,56,60,-4,57.0,,0,0
Kyler Murray,Kyler Murray,QB,ARI,27,42,5642,55,56,-1,55.0,,0,0
Dalton Kincaid,Dalton Kincaid,TE,BUF,24,41,6318,53,62,-9,56.0,,0,0
Deebo Samuel Sr.,Deebo Samuel,WR,SFO,28,41,5611,53,55,-2,54.0,,0,0
Isiah Pacheco,Isiah Pacheco,RB,KCC,25,40,5851,52,58,-6,54.0,,0,0
Trey McBride,Trey McBride,TE,ARI,24,40,6321,52,62,-10,55.0,,0,0
Justin Herbert,Justin Herbert,QB,LAC,26,40,5622,52,55,-3,53.0,,0,0
Mike Evans,Mike Evans,WR,TBB,31,39,5142,51,51,0,51.0,,0,0
Brian Thomas Jr.,Brian Thomas Jr.,WR,JAC,21,39,5536,51,54,-3,52.0,,0,0
Davante Adams,Davante Adams,WR,LVR,31,39,5127,51,50,1,51.0,,0,0
Jayden Reed,Jayden Reed,WR,GBP,24,39,5411,51,53,-2,52.0,,0,0
Jonathon Brooks,Jonathon Brooks,RB,CAR,21,39,5962,51,59,-8,54.0,,0,0
Christian Kirk,Christian Kirk,WR,JAC,27,38,4702,50,46,4,49.0,Christian Kirk,0,1
Mark Andrews,Mark Andrews,TE,BAL,28,38,5837,50,58,-8,53.0,Mark Andrews,0,1
Brock Bowers,Brock Bowers,TE,LVR,21,37,6195,48,61,-13,52.0,,0,0
