Player,Matched_Player_Name,Position,Team,Age,JB Trade Value,KTC Trade Value,JB_normalized,KTC_normalized,Value_Difference,weighted_avg_trade_value,BestMatch,free_agent_indicator,rostered_indicator
CeeDee Lamb,CeeDee Lamb,WR,DAL,25,77,9981,100,99,1,100.0,,0,0
Justin Jefferson,Justin Jefferson,WR,MIN,25,76,9998,98,99,-1,98.0,,0,0
Ja'Marr Chase,Ja'Marr Chase,WR,CIN,24,75,9999,97,100,-3,98.0,,0,0
Amon-Ra St. Brown,Amon-Ra St. Brown,WR,DET,24,72,9476,93,94,-1,93.0,,0,0
Garrett Wilson,Garrett Wilson,WR,NYJ,24,71,7962,92,79,13,88.0,Garrett Wilson,0,1
Puka Nacua,Puka Nacua,WR,LAR,23,70,7820,90,77,13,86.0,,0,0
Bijan Robinson,Bijan Robinson,RB,ATL,22,69,9664,89,96,-7,91.0,,0,0
Marvin Harrison Jr.,Marvin Harrison Jr.,WR,ARI,22,69,9055,89,90,-1,89.0,,0,0
Breece Hall,Breece Hall,RB,NYJ,23,68,8891,88,88,0,88.0,,0,0
Josh Allen,Josh Allen,QB,BUF,28,64,7667,83,76,7,81.0,Josh Allen,0,1
Malik Nabers,Malik Nabers,WR,NYG,21,63,7828,81,77,4,80.0,,0,0
Jahmyr Gibbs,Jahmyr Gibbs,RB,DET,22,63,8345,81,83,-2,82.0,,0,0
Patrick Mahomes II,Patrick Mahomes,QB,KCC,28,62,7688,80,76,4,79.0,,0,0
Tyreek Hill,Tyreek Hill,WR,MIA,30,61,7358,79,73,6,77.0,,0,0
A.J. Brown,A.J. Brown,WR,PHI,27,61,7686,79,76,3,78.0,,0,0
Christian McCaffrey,Christian McCaffrey,RB,SFO,28,61,7969,79,79,0,79.0,,0,0
Jonathan Taylor,Jonathan Taylor,RB,IND,25,60,7058,77,70,7,75.0,,0,0
Drake London,Drake London,WR,ATL,23,59,6991,76,69,7,74.0,,0,0
Brandon Aiyuk,Brandon Aiyuk,WR,SFO,26,59,6745,76,66,10,73.0,,0,0
Jaylen Waddle,Jaylen Waddle,WR,MIA,25,58,7055,75,70,5,73.0,,0,0
Chris Olave,Chris Olave,WR,NOS,24,58,6978,75,69,6,73.0,Chris Olave,0,1
C.J. Stroud,C.J. Stroud,QB,HOU,22,58,6812,75,67,8,72.0,,0,0
Nico Collins,Nico Collins,WR,HOU,25,57,6724,74,66,8,71.0,Nico Collins,0,1
DK Metcalf,DK Metcalf,WR,SEA,26,55,6223,71,61,10,68.0,,0,0
De'Von Achane,De'Von Achane,RB,MIA,22,55,6770,71,67,4,70.0,,0,0
