Player,Matched_Player_Name,Position,Team,Age,JB Trade Value,KTC Trade Value,JB_normalized,KTC_normalized,Value_Difference,weighted_avg_trade_value,BestMatch,free_agent_indicator,rostered_indicator
Justin Jefferson,Justin Jefferson,WR,MIN,25,76,9998,100,100,0,100.0,,0,0
Ja'Marr Chase,Ja'Marr Chase,WR,CIN,24,75,9998,98,100,-2,99.0,,0,0
CeeDee Lamb,CeeDee Lamb,WR,DAL,25,74,9989,97,99,-2,98.0,,0,0
Amon-Ra St. Brown,Amon-Ra St. Brown,WR,DET,24,71,9415,93,94,-1,93.0,,0,0
Garrett Wilson,Garrett Wilson,WR,NYJ,24,70,7983,92,79,13,88.0,,0,0
Puka Nacua,Puka Nacua,WR,LAR,23,70,7975,92,79,13,88.0,,0,0
Marvin Harrison Jr.,Marvin Harrison Jr.,WR,ARI,21,69,9033,90,90,0,90.0,,0,0
Bijan Robinson,Bijan Robinson,RB,ATL,22,69,9401,90,93,-3,91.0,,0,0
Breece Hall,Breece Hall,RB,NYJ,23,68,8864,89,88,1,89.0,,0,0
Josh Allen,Josh Allen,QB,BUF,28,64,7762,84,77,7,82.0,Josh Allen,0,1
Malik Nabers,Malik Nabers,WR,NYG,20,63,7624,82,76,6,80.0,,0,0
Jahmyr Gibbs,Jahmyr Gibbs,RB,DET,22,63,8478,82,84,-2,83.0,,0,0
A.J. Brown,A.J. Brown,WR,PHI,27,62,7742,81,77,4,80.0,,0,0
Patrick Mahomes II,Patrick Mahomes,QB,KCC,28,62,7689,81,76,5,79.0,,0,0
Christian McCaffrey,Christian McCaffrey,RB,SFO,28,61,8045,80,80,0,80.0,,0,0
Tyreek Hill,Tyreek Hill,WR,MIA,30,60,7065,78,70,8,75.0,,0,0
Jonathan Taylor,Jonathan Taylor,RB,IND,25,60,6924,78,68,10,75.0,,0,0
Brandon Aiyuk,Brandon Aiyuk,WR,SFO,26,59,6708,77,66,11,73.0,,0,0
Drake London,Drake London,WR,ATL,23,59,7030,77,70,7,75.0,,0,0
Chris Olave,Chris Olave,WR,NOS,24,58,7124,76,70,6,74.0,,0,0
C.J. Stroud,C.J. Stroud,QB,HOU,22,58,6926,76,68,8,73.0,,0,0
Jaylen Waddle,Jaylen Waddle,WR,MIA,25,57,7107,75,70,5,73.0,Jaylen Waddle,0,1
Nico Collins,Nico Collins,WR,HOU,25,56,6656,73,66,7,71.0,,0,0
Jalen Hurts,Jalen Hurts,QB,PHI,25,55,6738,72,67,5,70.0,,0,0
De'Von Achane,De'Von Achane,RB,MIA,22,55,6686,72,66,6,70.0,,0,0
Lamar Jackson,Lamar Jackson,QB,BAL,27,54,6762,71,67,4,70.0,,0,0
DK Metcalf,DK Metcalf,WR,SEA,26,54,6173,71,61,10,68.0,,0,0
DeVonta Smith,DeVonta Smith,WR,PHI,25,54,6695,71,66,5,69.0,,0,0
DJ Moore,D.J. Moore,WR,CHI,27,52,6129,68,60,8,65.0,,0,0
George Pickens,George Pickens,WR,PIT,23,51,6054,67,60,7,65.0,George Pickens,0,1
Travis Etienne Jr.,Travis Etienne,RB,JAC,25,50,6505,65,64,1,65.0,,0,0
Anthony Richardson,Anthony Richardson,QB,IND,22,49,6503,64,64,0,64.0,,0,0
Tank Dell,Tank Dell,WR,HOU,24,49,6144,64,61,3,63.0,,0,0
Rome Odunze,Rome Odunze,WR,CHI,22,48,6813,63,67,-4,64.0,,0,0
Joe Burrow,Joe Burrow,QB,CIN,27,47,6127,61,60,1,61.0,,0,0
Saquon Barkley,Saquon Barkley,RB,PHI,27,47,6230,61,61,0,61.0,,0,0
Kenneth Walker III,Kenneth Walker III,RB,SEA,23,45,6002,59,59,0,59.0,,0,0
Kyren Williams,Kyren Williams,RB,LAR,23,45,6244,59,62,-3,60.0,,0,0
Michael Pittman Jr.,Michael Pittman,WR,IND,26,45,6168,59,61,-2,60.0,,0,0
Tee Higgins,Tee Higgins,WR,CIN,25,45,6086,59,60,-1,59.0,,0,0
Sam LaPorta,Sam LaPorta,TE,DET,23,45,7719,59,76,-17,65.0,,0,0
Xavier Worthy,Xavier Worthy,WR,KCC,21,44,5599,57,55,2,56.0,,0,0
Rashee Rice,Rashee Rice,WR,KCC,24,44,5113,57,50,7,55.0,,0,0
James Cook,James Cook,RB,BUF,24,43,5806,56,57,-1,56.0,,0,0
Jaxon Smith-Njigba,Jaxon Smith-Njigba,WR,SEA,22,43,5989,56,59,-3,57.0,Jaxon Smith-Njigba,0,1
Zay Flowers,Zay Flowers,WR,BAL,23,43,6142,56,61,-5,58.0,,0,0
Caleb Williams,Caleb Williams,QB,CHI,22,43,5953,56,59,-3,57.0,,0,0
Kyler Murray,Kyler Murray,QB,ARI,26,42,5558,55,55,0,55.0,,0,0
Dalton Kincaid,Dalton Kincaid,TE,BUF,24,41,6411,53,63,-10,56.0,,0,0
Deebo Samuel Sr.,Deebo Samuel,WR,SFO,28,41,5472,53,54,-1,53.0,,0,0
Isiah Pacheco,Isiah Pacheco,RB,KCC,25,40,5863,52,58,-6,54.0,,0,0
Trey McBride,Trey McBride,TE,ARI,24,40,6506,52,64,-12,56.0,,0,0
Justin Herbert,Justin Herbert,QB,LAC,26,40,5758,52,57,-5,54.0,,0,0
Mike Evans,Mike Evans,WR,TBB,30,39,5060,51,50,1,51.0,,0,0
Brian Thomas Jr.,Brian Thomas Jr.,WR,JAC,21,39,5629,51,55,-4,52.0,,0,0
Davante Adams,Davante Adams,WR,LVR,31,39,5071,51,50,1,51.0,,0,0
Jayden Reed,Jayden Reed,WR,GBP,24,39,5346,51,52,-1,51.0,,0,0
Jonathon Brooks,Jonathon Brooks,RB,CAR,21,39,6087,51,60,-9,54.0,,0,0
Christian Kirk,Christian Kirk,WR,JAC,27,38,4705,50,46,4,49.0,Christian Kirk,0,1
Mark Andrews,Mark Andrews,TE,BAL,28,38,5748,50,57,-7,52.0,Mark Andrews,0,1
Brock Bowers,Brock Bowers,TE,LVR,21,37,6289,48,62,-14,53.0,,0,0
Josh Jacobs,Josh Jacobs,RB,GBP,26,37,5254,48,52,-4,49.0,,0,0
Stefon Diggs,Stefon Diggs,WR,HOU,30,37,4289,48,42,6,46.0,,0,0
Ladd McConkey,Ladd McConkey,WR,LAC,22,37,5470,48,54,-6,50.0,,0,0
Kyle Pitts,Kyle Pitts,TE,ATL,23,37,6172,48,61,-13,52.0,,0,0
Jordan Addison,Jordan Addison,WR,MIN,22,36,5492,47,54,-7,49.0,,0,0
Amari Cooper,Amari Cooper,WR,CLE,30,36,4504,47,44,3,46.0,,0,0
Rachaad White,Rachaad White,RB,TBB,25,36,5422,47,53,-6,49.0,,0,0
Terry McLaurin,Terry McLaurin,WR,WAS,28,35,4586,46,45,1,46.0,,0,0
Cooper Kupp,Cooper Kupp,WR,LAR,31,35,4679,46,46,0,46.0,,0,0
T.J. Hockenson,T.J. Hockenson,TE,MIN,27,35,5386,46,53,-7,48.0,,0,0
Jordan Love,Jordan Love,QB,GBP,25,35,5812,46,57,-11,50.0,,0,0
Chris Godwin,Chris Godwin,WR,TBB,28,34,4419,44,43,1,44.0,,0,0
Trey Benson,Trey Benson,RB,ARI,22,34,5165,44,51,-7,46.0,,0,0
D'Andre Swift,D'Andre Swift,RB,CHI,25,33,4645,43,45,-2,44.0,,0,0
Travis Kelce,Travis Kelce,TE,KCC,34,33,4959,43,49,-6,45.0,,0,0
Keon Coleman,Keon Coleman,WR,BUF,21,32,5101,42,50,-8,45.0,,0,0
Calvin Ridley,Calvin Ridley,WR,TEN,29,32,4040,42,39,3,41.0,,0,0
Joe Mixon,Joe Mixon,RB,HOU,28,32,4427,42,43,-1,42.0,,0,0
Alvin Kamara,Alvin Kamara,RB,NOS,29,32,4045,42,39,3,41.0,,0,0
Derrick Henry,Derrick Henry,RB,BAL,30,32,4643,42,45,-3,43.0,,0,0
Tyjae Spears,Tyjae Spears,RB,TEN,23,31,4386,40,43,-3,41.0,,0,0
George Kittle,George Kittle,TE,SFO,30,31,4429,40,43,-3,41.0,,0,0
Rhamondre Stevenson,Rhamondre Stevenson,RB,NEP,26,31,4756,40,47,-7,42.0,,0,0
Ricky Pearsall,Ricky Pearsall,WR,SFO,23,31,4665,40,46,-6,42.0,,0,0
Jayden Daniels,Jayden Daniels,QB,WAS,23,30,5412,39,53,-14,44.0,,0,0
Brian Robinson Jr.,Brian Robinson,RB,WAS,25,30,4207,39,41,-2,40.0,,0,0
David Montgomery,David Montgomery,RB,DET,27,30,4288,39,42,-3,40.0,,0,0
Christian Watson,Christian Watson,WR,GBP,25,30,4535,39,44,-5,41.0,,0,0
Najee Harris,Najee Harris,RB,PIT,26,29,4184,38,41,-3,39.0,,0,0
Trevor Lawrence,Trevor Lawrence,QB,JAC,24,29,4753,38,46,-8,41.0,,0,0
Adonai Mitchell,Adonai Mitchell,WR,IND,21,29,4217,38,41,-3,39.0,,0,0
Brock Purdy,Brock Purdy,QB,SFO,24,29,4526,38,44,-6,40.0,,0,0
Tony Pollard,Tony Pollard,RB,TEN,27,29,3780,38,37,1,38.0,,0,0
Dak Prescott,Dak Prescott,QB,DAL,30,28,4389,36,43,-7,38.0,,0,0
Aaron Jones,Aaron Jones,RB,MIN,29,28,3641,36,35,1,36.0,Aaron Jones,0,1
Zamir White,Zamir White,RB,LVR,24,28,4514,36,44,-8,39.0,,0,0
Zack Moss,Zack Moss,RB,CIN,26,28,3659,36,35,1,36.0,,0,0
Javonte Williams,Javonte Williams,RB,DEN,24,28,3761,36,36,0,36.0,,0,0
Evan Engram,Evan Engram,TE,JAC,29,28,4099,36,40,-4,37.0,,0,0
Kendre Miller,Kendre Miller,RB,NOS,22,27,3827,35,37,-2,36.0,,0,0
Jaylen Warren,Jaylen Warren,RB,PIT,25,27,4225,35,41,-6,37.0,,0,0
Xavier Legette,Xavier Legette,WR,CAR,23,27,4279,35,42,-7,37.0,,0,0
Diontae Johnson,Diontae Johnson,WR,CAR,28,27,4156,35,40,-5,37.0,,0,0
Ja'Lynn Polk,Ja'Lynn Polk,WR,NEP,22,27,3979,35,39,-4,36.0,,0,0
Keenan Allen,Keenan Allen,WR,CHI,32,26,3636,34,35,-1,34.0,,0,0
Zach Charbonnet,Zach Charbonnet,RB,SEA,23,26,3977,34,39,-5,36.0,,0,0
