Player,Matched_Player_Name,Position,Team,Age,JB Trade Value,KTC Trade Value,JB_normalized,KTC_normalized,Value_Difference,weighted_avg_trade_value,BestMatch,free_agent_indicator,rostered_indicator
Justin Jefferson,Justin Jefferson,WR,MIN,25,76,9999,100,100,0,100.0,,0,0
Ja'Marr Chase,Ja'Marr Chase,WR,CIN,24,75,9990,98,99,-1,98.0,,0,0
CeeDee Lamb,CeeDee Lamb,WR,DAL,25,74,9994,97,99,-2,98.0,,0,0
Amon-Ra St. Brown,Amon-Ra St. Brown,WR,DET,24,71,9497,93,94,-1,93.0,,0,0
Garrett Wilson,Garrett Wilson,WR,NYJ,24,70,7887,92,78,14,87.0,,0,0
Puka Nacua,Puka Nacua,WR,LAR,23,70,8031,92,80,12,88.0,,0,0
Marvin Harrison Jr.,Marvin Harrison Jr.,WR,ARI,21,69,8913,90,89,1,90.0,,0,0
Bijan Robinson,Bijan Robinson,RB,ATL,22,69,9505,90,95,-5,92.0,,0,0
Breece Hall,Breece Hall,RB,NYJ,23,68,8807,89,87,2,88.0,,0,0
Josh Allen,Josh Allen,QB,BUF,28,64,7827,84,78,6,82.0,Josh Allen,0,1
Malik Nabers,Malik Nabers,WR,NYG,20,63,7691,82,76,6,80.0,,0,0
Jahmyr Gibbs,Jahmyr Gibbs,RB,DET,22,63,8408,82,83,-1,82.0,,0,0
A.J. Brown,A.J. Brown,WR,PHI,27,62,7843,81,78,3,80.0,,0,0
Patrick Mahomes II,Patrick Mahomes,QB,KCC,28,62,7692,81,76,5,79.0,,0,0
Christian McCaffrey,Christian McCaffrey,RB,SFO,28,61,8041,80,80,0,80.0,,0,0
Tyreek Hill,Tyreek Hill,WR,MIA,30,60,7061,78,70,8,75.0,,0,0
Jonathan Taylor,Jonathan Taylor,RB,IND,25,60,6986,78,69,9,75.0,,0,0
Brandon Aiyuk,Brandon Aiyuk,WR,SFO,26,59,6759,77,67,10,74.0,,0,0
Drake London,Drake London,WR,ATL,23,59,7017,77,69,8,74.0,,0,0
Chris Olave,Chris Olave,WR,NOS,24,58,7121,76,71,5,74.0,,0,0
C.J. Stroud,C.J. Stroud,QB,HOU,22,58,6928,76,69,7,74.0,,0,0
Jaylen Waddle,Jaylen Waddle,WR,MIA,25,57,7071,75,70,5,73.0,Jaylen Waddle,0,1
Nico Collins,Nico Collins,WR,HOU,25,56,6688,73,66,7,71.0,,0,0
Jalen Hurts,Jalen Hurts,QB,PHI,25,55,6698,72,66,6,70.0,,0,0
De'Von Achane,De'Von Achane,RB,MIA,22,55,6560,72,65,7,70.0,,0,0
Lamar Jackson,Lamar Jackson,QB,BAL,27,54,6704,71,66,5,69.0,,0,0
DK Metcalf,DK Metcalf,WR,SEA,26,54,6293,71,62,9,68.0,,0,0
DeVonta Smith,DeVonta Smith,WR,PHI,25,54,6700,71,66,5,69.0,,0,0
DJ Moore,D.J. Moore,WR,CHI,27,52,6101,68,60,8,65.0,,0,0
George Pickens,George Pickens,WR,PIT,23,51,6089,67,60,7,65.0,George Pickens,0,1
Travis Etienne Jr.,Travis Etienne,RB,JAC,25,50,6495,65,64,1,65.0,,0,0
Anthony Richardson,Anthony Richardson,QB,IND,22,49,6482,64,64,0,64.0,,0,0
Tank Dell,Tank Dell,WR,HOU,24,49,6202,64,61,3,63.0,,0,0
Rome Odunze,Rome Odunze,WR,CHI,22,48,6719,63,66,-3,64.0,,0,0
Joe Burrow,Joe Burrow,QB,CIN,27,47,6177,61,61,0,61.0,,0,0
Saquon Barkley,Saquon Barkley,RB,PHI,27,47,6187,61,61,0,61.0,,0,0
Kenneth Walker III,Kenneth Walker III,RB,SEA,23,45,5939,59,59,0,59.0,,0,0
Kyren Williams,Kyren Williams,RB,LAR,23,45,6241,59,62,-3,60.0,,0,0
Michael Pittman Jr.,Michael Pittman,WR,IND,26,45,6208,59,61,-2,60.0,,0,0
Tee Higgins,Tee Higgins,WR,CIN,25,45,6079,59,60,-1,59.0,,0,0
Sam LaPorta,Sam LaPorta,TE,DET,23,45,7803,59,77,-18,65.0,,0,0
Xavier Worthy,Xavier Worthy,WR,KCC,21,44,5600,57,55,2,56.0,,0,0
Rashee Rice,Rashee Rice,WR,KCC,24,44,5190,57,51,6,55.0,,0,0
James Cook,James Cook,RB,BUF,24,43,5679,56,56,0,56.0,,0,0
Jaxon Smith-Njigba,Jaxon Smith-Njigba,WR,SEA,22,43,6032,56,60,-4,57.0,Jaxon Smith-Njigba,0,1
Zay Flowers,Zay Flowers,WR,BAL,23,43,6116,56,60,-4,57.0,,0,0
Caleb Williams,Caleb Williams,QB,CHI,22,43,5946,56,59,-3,57.0,,0,0
Kyler Murray,Kyler Murray,QB,ARI,26,42,5548,55,55,0,55.0,,0,0
Dalton Kincaid,Dalton Kincaid,TE,BUF,24,41,6410,53,63,-10,56.0,,0,0
Deebo Samuel Sr.,Deebo Samuel,WR,SFO,28,41,5457,53,54,-1,53.0,,0,0
Isiah Pacheco,Isiah Pacheco,RB,KCC,25,40,5854,52,58,-6,54.0,,0,0
Trey McBride,Trey McBride,TE,ARI,24,40,6456,52,64,-12,56.0,,0,0
