Player,Matched_Player_Name,Position,Team,Age,JB Trade Value,KTC Trade Value,JB_normalized,KTC_normalized,Value_Difference,weighted_avg_trade_value,BestMatch,free_agent_indicator,rostered_indicator
Justin Jefferson,Justin Jefferson,WR,MIN,25,76,9999,100,100,0,100.0,Justin Jefferson,0,1
Ja'Marr Chase,Ja'Marr Chase,WR,CIN,24,75,9978,98,99,-1,98.0,,0,0
CeeDee Lamb,CeeDee Lamb,WR,DAL,25,74,9993,97,99,-2,98.0,,0,0
Amon-Ra St. Brown,Amon-Ra St. Brown,WR,DET,24,71,9455,93,94,-1,93.0,,0,0
Garrett Wilson,Garrett Wilson,WR,NYJ,24,70,7975,92,79,13,88.0,Garrett Wilson,0,1
Puka Nacua,Puka Nacua,WR,LAR,23,70,7976,92,79,13,88.0,,0,0
Marvin Harrison Jr.,Marvin Harrison Jr.,WR,ARI,22,69,8960,90,89,1,90.0,,0,0
Bijan Robinson,Bijan Robinson,RB,ATL,22,69,9604,90,96,-6,92.0,,0,0
Breece Hall,Breece Hall,RB,NYJ,23,68,8935,89,89,0,89.0,,0,0
Josh Allen,Josh Allen,QB,BUF,28,64,7722,84,77,7,82.0,Josh Allen,0,1
Malik Nabers,Malik Nabers,WR,NYG,21,63,7740,82,77,5,80.0,,0,0
Jahmyr Gibbs,Jahmyr Gibbs,RB,DET,22,63,8363,82,83,-1,82.0,,0,0
A.J. Brown,A.J. Brown,WR,PHI,27,62,7775,81,77,4,80.0,,0,0
Patrick Mahomes II,Patrick Mahomes,QB,KCC,28,62,7724,81,77,4,80.0,,0,0
Christian McCaffrey,Christian McCaffrey,RB,SFO,28,61,8043,80,80,0,80.0,,0,0
Tyreek Hill,Tyreek Hill,WR,MIA,30,60,7049,78,70,8,75.0,,0,0
Jonathan Taylor,Jonathan Taylor,RB,IND,25,60,7052,78,70,8,75.0,,0,0
Brandon Aiyuk,Brandon Aiyuk,WR,SFO,26,59,6690,77,66,11,73.0,,0,0
Drake London,Drake London,WR,ATL,23,59,6949,77,69,8,74.0,,0,0
Chris Olave,Chris Olave,WR,NOS,24,58,7030,76,70,6,74.0,,0,0
C.J. Stroud,C.J. Stroud,QB,HOU,22,58,6839,76,68,8,73.0,,0,0
Jaylen Waddle,Jaylen Waddle,WR,MIA,25,57,6972,75,69,6,73.0,,0,0
Nico Collins,Nico Collins,WR,HOU,25,56,6687,73,66,7,71.0,,0,0
Jalen Hurts,Jalen Hurts,QB,PHI,26,55,6697,72,66,6,70.0,,0,0
De'Von Achane,De'Von Achane,RB,MIA,22,55,6615,72,65,7,70.0,De'Von Achane,0,1
Lamar Jackson,Lamar Jackson,QB,BAL,27,54,6829,71,68,3,70.0,,0,0
DK Metcalf,DK Metcalf,WR,SEA,26,54,6283,71,62,9,68.0,,0,0
DeVonta Smith,DeVonta Smith,WR,PHI,25,54,6785,71,67,4,70.0,,0,0
DJ Moore,D.J. Moore,WR,CHI,27,52,6368,68,63,5,66.0,,0,0
George Pickens,George Pickens,WR,PIT,23,51,6089,67,60,7,65.0,,0,0
Travis Etienne Jr.,Travis Etienne,RB,JAC,25,50,6603,65,65,0,65.0,Travis Etienne Jr.,0,1
