Player,Matched_Player_Name,Position,Team,Age,JB Trade Value,KTC Trade Value,JB_normalized,KTC_normalized,Value_Difference,weighted_avg_trade_value,BestMatch,free_agent_indicator,rostered_indicator
Justin Jefferson,Justin Jefferson,WR,MIN,25.0,76,9999,100,99,1.0101010101010102,233.0,Justin Jefferson,0,1
Ja'Marr Chase,Ja'Marr Chase,WR,CIN,24.0,75,9999,98,99,-1.0101010101010102,229.0,,0,0
CeeDee Lamb,CeeDee Lamb,WR,DAL,25.0,74,9998,97,99,-2.0202020202020203,227.0,,0,0
Amon-Ra St. Brown,Amon-Ra St. Brown,WR,DET,24.0,71,9306,93,93,0.0,217.0,,0,0
Garrett Wilson,Garrett Wilson,WR,NYJ,24.0,70,7875,92,78,17.94871794871795,210.0,Garrett Wilson,0,1
Puka Nacua,Puka Nacua,WR,LAR,23.0,70,8108,92,80,15.0,211.0,,0,0
Marvin Harrison Jr.,Marvin Harrison Jr.,WR,ARI,21.0,69,8916,90,89,1.1235955056179776,210.0,,0,0
Bijan Robinson,Bijan Robinson,RB,ATL,22.0,69,9480,90,94,-4.25531914893617,211.0,,0,0
Breece Hall,Breece Hall,RB,NYJ,23.0,68,8871,89,88,1.1363636363636365,207.0,,0,0
Josh Allen,Josh Allen,QB,BUF,28.0,64,7869,84,78,7.6923076923076925,194.0,Josh Allen,0,1
Malik Nabers,Malik Nabers,WR,NYG,20.0,63,7668,82,76,7.894736842105263,189.0,,0,0
Jahmyr Gibbs,Jahmyr Gibbs,RB,DET,22.0,63,8368,82,83,-1.2048192771084338,192.0,,0,0
A.J. Brown,A.J. Brown,WR,PHI,27.0,62,7777,81,77,5.194805194805195,188.0,,0,0
Patrick Mahomes II,Patrick Mahomes,QB,KCC,28.0,62,7706,81,76,6.578947368421052,187.0,,0,0
Christian McCaffrey,Christian McCaffrey,RB,SFO,28.0,61,7919,80,79,1.2658227848101267,186.0,,0,0
Tyreek Hill,Tyreek Hill,WR,MIA,30.0,60,7123,78,71,9.859154929577464,180.0,,0,0
Jonathan Taylor,Jonathan Taylor,RB,IND,25.0,60,6972,78,69,13.043478260869565,179.0,,0,0
Brandon Aiyuk,Brandon Aiyuk,WR,SFO,26.0,59,6739,77,67,14.925373134328357,176.0,,0,0
Drake London,Drake London,WR,ATL,23.0,59,7047,77,70,10.0,177.0,,0,0
Chris Olave,Chris Olave,WR,NOS,24.0,58,7138,76,71,7.042253521126761,176.0,,0,0
C.J. Stroud,C.J. Stroud,QB,HOU,22.0,58,6962,76,69,10.144927536231885,175.0,,0,0
Jaylen Waddle,Jaylen Waddle,WR,MIA,25.0,57,7134,75,71,5.633802816901409,174.0,,0,0
Nico Collins,Nico Collins,WR,HOU,25.0,56,6713,73,66,10.606060606060606,168.0,,0,0
Jalen Hurts,Jalen Hurts,QB,PHI,25.0,55,6703,72,66,9.090909090909092,166.0,,0,0
De'Von Achane,De'Von Achane,RB,MIA,22.0,55,6569,72,65,10.76923076923077,166.0,De'Von Achane,0,1
Lamar Jackson,Lamar Jackson,QB,BAL,27.0,54,6682,71,66,7.575757575757576,164.0,,0,0
DK Metcalf,DK Metcalf,WR,SEA,26.0,54,6465,71,64,10.9375,163.0,,0,0
DeVonta Smith,DeVonta Smith,WR,PHI,25.0,54,6677,71,66,7.575757575757576,164.0,,0,0
DJ Moore,D.J. Moore,WR,CHI,27.0,52,6149,68,61,11.475409836065573,156.0,,0,0
George Pickens,George Pickens,WR,PIT,23.0,51,6079,67,60,11.666666666666666,154.0,,0,0
Travis Etienne Jr.,Travis Etienne,RB,JAC,25.0,50,6516,65,64,1.5625,151.0,Travis Etienne Jr.,0,1
Anthony Richardson,Anthony Richardson,QB,IND,22.0,49,6455,64,64,0.0,149.0,,0,0
Tank Dell,Tank Dell,WR,HOU,24.0,49,6078,64,60,6.666666666666667,148.0,,0,0
Rome Odunze,Rome Odunze,WR,CHI,22.0,48,6772,63,67,-5.970149253731343,148.0,,0,0
Joe Burrow,Joe Burrow,QB,CIN,27.0,47,6191,61,61,0.0,142.0,,0,0
Saquon Barkley,Saquon Barkley,RB,PHI,27.0,47,6187,61,61,0.0,142.0,Saquon Barkley,0,1
Kenneth Walker III,Kenneth Walker III,RB,SEA,23.0,45,5883,59,58,1.7241379310344827,137.0,,0,0
Kyren Williams,Kyren Williams,RB,LAR,23.0,45,6192,59,61,-3.278688524590164,138.0,,0,0
Michael Pittman Jr.,Michael Pittman,WR,IND,26.0,45,6235,59,62,-4.838709677419355,139.0,,0,0
Tee Higgins,Tee Higgins,WR,CIN,25.0,45,6151,59,61,-3.278688524590164,138.0,Tee Higgins,0,1
Sam LaPorta,Sam LaPorta,TE,DET,23.0,45,7818,59,78,-24.358974358974358,144.0,,0,0
Xavier Worthy,Xavier Worthy,WR,KCC,21.0,44,5624,57,56,1.7857142857142856,133.0,,0,0
Rashee Rice,Rashee Rice,WR,KCC,24.0,44,5098,57,50,14.000000000000002,131.0,,0,0
James Cook,James Cook,RB,BUF,24.0,43,5646,56,56,0.0,131.0,,0,0
Jaxon Smith-Njigba,Jaxon Smith-Njigba,WR,SEA,22.0,43,5850,56,58,-3.4482758620689653,131.0,,0,0
Zay Flowers,Zay Flowers,WR,BAL,23.0,43,6003,56,59,-5.084745762711865,132.0,,0,0
Caleb Williams,Caleb Williams,QB,CHI,22.0,43,5949,56,59,-5.084745762711865,132.0,,0,0
Kyler Murray,Kyler Murray,QB,ARI,26.0,42,5532,55,55,0.0,128.0,,0,0
Dalton Kincaid,Dalton Kincaid,TE,BUF,24.0,41,6382,53,63,-15.873015873015872,127.0,,0,0
Deebo Samuel Sr.,Deebo Samuel,WR,SFO,28.0,41,5509,53,54,-1.8518518518518516,124.0,,0,0
Isiah Pacheco,Isiah Pacheco,RB,KCC,25.0,40,5811,52,57,-8.771929824561402,123.0,,0,0
Trey McBride,Trey McBride,TE,ARI,24.0,40,6441,52,64,-18.75,125.0,Trey McBride,0,1
Justin Herbert,Justin Herbert,QB,LAC,26.0,40,5790,52,57,-8.771929824561402,123.0,,0,0
Mike Evans,Mike Evans,WR,TBB,30.0,39,4996,51,49,4.081632653061225,118.0,,0,0
Brian Thomas Jr.,Brian Thomas Jr.,WR,JAC,21.0,39,5713,51,56,-8.928571428571429,121.0,,1,0
Davante Adams,Davante Adams,WR,LVR,31.0,39,5022,51,49,4.081632653061225,118.0,,0,0
Jayden Reed,Jayden Reed,WR,GBP,24.0,39,5405,51,53,-3.7735849056603774,120.0,,0,0
Jonathon Brooks,Jonathon Brooks,RB,CAR,21.0,39,6069,51,60,-15.0,122.0,,0,0
Christian Kirk,Christian Kirk,WR,JAC,27.0,38,4797,50,47,6.382978723404255,116.0,,0,0
Mark Andrews,Mark Andrews,TE,BAL,28.0,38,5842,50,58,-13.793103448275861,119.0,,0,0
Brock Bowers,Brock Bowers,TE,LVR,21.0,37,6263,48,62,-22.58064516129032,117.0,,0,0
Josh Jacobs,Josh Jacobs,RB,GBP,26.0,37,5096,48,50,-4.0,113.0,,0,0
Stefon Diggs,Stefon Diggs,WR,HOU,30.0,37,4365,48,43,11.627906976744185,110.0,,0,0
Ladd McConkey,Ladd McConkey,WR,LAC,22.0,37,5595,48,55,-12.727272727272727,114.0,,0,0
Kyle Pitts,Kyle Pitts,TE,ATL,23.0,37,6022,48,60,-20.0,116.0,,0,0
Jordan Addison,Jordan Addison,WR,MIN,22.0,36,5940,47,59,-20.33898305084746,114.0,,0,0
Amari Cooper,Amari Cooper,WR,CLE,30.0,36,4606,47,45,4.444444444444445,109.0,,0,0
Rachaad White,Rachaad White,RB,TBB,25.0,36,5526,47,55,-14.545454545454545,112.0,,0,0
Terry McLaurin,Terry McLaurin,WR,WAS,28.0,35,4594,46,45,2.2222222222222223,107.0,,0,0
Cooper Kupp,Cooper Kupp,WR,LAR,31.0,35,4679,46,46,0.0,107.0,,0,0
T.J. Hockenson,T.J. Hockenson,TE,MIN,27.0,35,5355,46,53,-13.20754716981132,110.0,,0,0
Jordan Love,Jordan Love,QB,GBP,25.0,35,5780,46,57,-19.298245614035086,111.0,,0,0
Chris Godwin,Chris Godwin,WR,TBB,28.0,34,4369,44,43,2.3255813953488373,102.0,,0,0
Trey Benson,Trey Benson,RB,ARI,22.0,34,5207,44,51,-13.725490196078432,105.0,,0,0
D'Andre Swift,D'Andre Swift,RB,CHI,25.0,33,4526,43,44,-2.272727272727273,101.0,,0,0
Travis Kelce,Travis Kelce,TE,KCC,34.0,33,4909,43,48,-10.416666666666668,102.0,,0,0
Keon Coleman,Keon Coleman,WR,BUF,21.0,32,5072,42,50,-16.0,101.0,,0,0
Calvin Ridley,Calvin Ridley,WR,TEN,29.0,32,4079,42,40,5.0,97.0,,0,0
Joe Mixon,Joe Mixon,RB,HOU,28.0,32,4381,42,43,-2.3255813953488373,98.0,,0,0
Alvin Kamara,Alvin Kamara,RB,NOS,29.0,32,4053,42,40,5.0,97.0,,0,0
Derrick Henry,Derrick Henry,RB,BAL,30.0,32,4625,42,45,-6.666666666666667,99.0,,0,0
Tyjae Spears,Tyjae Spears,RB,TEN,23.0,31,4310,40,42,-4.761904761904762,94.0,,0,0
George Kittle,George Kittle,TE,SFO,30.0,31,4257,40,42,-4.761904761904762,94.0,,0,0
Rhamondre Stevenson,Rhamondre Stevenson,RB,NEP,26.0,31,4843,40,48,-16.666666666666664,96.0,,0,0
Ricky Pearsall,Ricky Pearsall,WR,SFO,23.0,31,4734,40,47,-14.893617021276595,96.0,,0,0
Jayden Daniels,Jayden Daniels,QB,WAS,23.0,30,5389,39,53,-26.41509433962264,96.0,,0,0
Brian Robinson Jr.,Brian Robinson,RB,WAS,25.0,30,4038,39,40,-2.5,91.0,,0,0
David Montgomery,David Montgomery,RB,DET,27.0,30,4386,39,43,-9.30232558139535,92.0,,0,0
Christian Watson,Christian Watson,WR,GBP,25.0,30,4538,39,45,-13.333333333333334,93.0,,0,0
Najee Harris,Najee Harris,RB,PIT,26.0,29,4267,38,42,-9.523809523809524,90.0,,0,0
Trevor Lawrence,Trevor Lawrence,QB,JAC,24.0,29,4810,38,47,-19.148936170212767,92.0,,0,0
Adonai Mitchell,Adonai Mitchell,WR,IND,21.0,29,4385,38,43,-11.627906976744185,90.0,,0,0
Brock Purdy,Brock Purdy,QB,SFO,24.0,29,4477,38,44,-13.636363636363635,91.0,,0,0
Tony Pollard,Tony Pollard,RB,TEN,27.0,29,3772,38,37,2.7027027027027026,88.0,,0,0
Dak Prescott,Dak Prescott,QB,DAL,30.0,28,4366,36,43,-16.27906976744186,86.0,,0,0
Aaron Jones,Aaron Jones,RB,MIN,29.0,28,3606,36,35,2.857142857142857,84.0,,0,0
Zamir White,Zamir White,RB,LVR,24.0,28,4433,36,44,-18.181818181818183,87.0,,0,0
Zack Moss,Zack Moss,RB,CIN,26.0,28,3614,36,35,2.857142857142857,84.0,Zack Moss,0,1
Javonte Williams,Javonte Williams,RB,DEN,24.0,28,3857,36,38,-5.263157894736842,85.0,,0,0
Evan Engram,Evan Engram,TE,JAC,29.0,28,4321,36,42,-14.285714285714285,86.0,,0,0
Kendre Miller,Kendre Miller,RB,NOS,22.0,27,4047,35,40,-12.5,83.0,,0,0
Jaylen Warren,Jaylen Warren,RB,PIT,25.0,27,4219,35,41,-14.634146341463413,84.0,,0,0
Xavier Legette,Xavier Legette,WR,CAR,23.0,27,4306,35,42,-16.666666666666664,84.0,,0,0
Diontae Johnson,Diontae Johnson,WR,CAR,28.0,27,4287,35,42,-16.666666666666664,84.0,,0,0
Ja'Lynn Polk,Ja'Lynn Polk,WR,NEP,22.0,27,3902,35,38,-7.894736842105263,83.0,,0,0
Keenan Allen,Keenan Allen,WR,CHI,32.0,26,3658,34,36,-5.555555555555555,80.0,,0,0
Zach Charbonnet,Zach Charbonnet,RB,SEA,23.0,26,3967,34,39,-12.82051282051282,81.0,,0,0
Tua Tagovailoa,Tua Tagovailoa,QB,MIA,26.0,25,4329,32,42,-23.809523809523807,78.0,,0,0
Jameson Williams,Jameson Williams,WR,DET,23.0,25,3983,32,39,-17.94871794871795,77.0,,0,0
Jermaine Burton,Jermaine Burton,WR,CIN,23.0,25,3565,32,35,-8.571428571428571,76.0,Jermaine Burton,0,1
MarShawn Lloyd,MarShawn Lloyd,RB,GBP,23.0,25,3844,32,38,-15.789473684210526,77.0,,0,0
David Njoku,David Njoku,TE,CLE,28.0,25,3990,32,39,-17.94871794871795,77.0,,0,0
Mike Williams,Mike Williams,WR,NYJ,29.0,24,2438,31,23,34.78260869565217,70.0,,0,0
Courtland Sutton,Courtland Sutton,WR,DEN,28.0,24,3320,31,32,-3.125,73.0,,0,0
Nick Chubb,Nick Chubb,RB,CLE,28.0,24,3369,31,33,-6.0606060606060606,73.0,Nick Chubb,0,1
Blake Corum,Blake Corum,RB,LAR,23.0,24,4099,31,40,-22.5,75.0,,0,0
James Conner,James Conner,RB,ARI,29.0,23,3357,30,33,-9.090909090909092,71.0,,0,0
Jaylen Wright,Jaylen Wright,RB,MIA,21.0,23,3653,30,36,-16.666666666666664,72.0,,0,0
Marvin Mims Jr.,Marvin Mims,WR,DEN,22.0,23,2890,30,28,7.142857142857142,69.0,,0,0
Jakobi Meyers,Jakobi Meyers,WR,LVR,27.0,23,3219,30,31,-3.225806451612903,70.0,,0,0
Raheem Mostert,Raheem Mostert,RB,MIA,32.0,22,3081,28,30,-6.666666666666667,66.0,,0,0
Jerry Jeudy,Jerry Jeudy,WR,CLE,25.0,22,3372,28,33,-15.151515151515152,67.0,,0,0
Devin Singletary,Devin Singletary,RB,NYG,26.0,22,3386,28,33,-15.151515151515152,67.0,,0,0
Jahan Dotson,Jahan Dotson,WR,WAS,24.0,21,3597,27,35,-22.857142857142858,66.0,Jahan Dotson,0,1
DeAndre Hopkins,DeAndre Hopkins,WR,TEN,32.0,21,3109,27,30,-10.0,64.0,,0,0
Josh Downs,Josh Downs,WR,IND,22.0,21,3746,27,37,-27.027027027027028,66.0,,0,0
Dontayvion Wicks,Dontayvion Wicks,WR,GBP,23.0,21,3703,27,36,-25.0,66.0,,0,0
Ty Chandler,Ty Chandler,RB,MIN,26.0,21,2350,27,23,17.391304347826086,62.0,,0,0
Curtis Samuel,Curtis Samuel,WR,BUF,27.0,20,2914,26,28,-7.142857142857142,61.0,,0,0
J.J. McCarthy,J.J. McCarthy,QB,MIN,21.0,20,3578,26,35,-25.71428571428571,64.0,,0,0
Jake Ferguson,Jake Ferguson,TE,DAL,25.0,20,4257,26,42,-38.095238095238095,66.0,Jake Ferguson,0,1
Rashid Shaheed,Rashid Shaheed,WR,NOS,25.0,20,3265,26,32,-18.75,63.0,,0,0
Jaleel McLaughlin,Jaleel McLaughlin,RB,DEN,23.0,19,3056,25,30,-16.666666666666664,60.0,,0,0
Chase Brown,Chase Brown,RB,CIN,24.0,19,3547,25,35,-28.57142857142857,62.0,,0,0
Drake Maye,Drake Maye,QB,NEP,21.0,19,3791,25,37,-32.432432432432435,62.0,,0,0
Rashod Bateman,Rashod Bateman,WR,BAL,24.0,19,2515,25,24,4.166666666666666,58.0,,0,0
Romeo Doubs,Romeo Doubs,WR,GBP,24.0,18,3786,23,37,-37.83783783783784,58.0,,0,0
Gus Edwards,Gus Edwards,RB,LAC,29.0,18,2704,23,26,-11.538461538461538,55.0,Gus Edwards,0,1
Jerome Ford,Jerome Ford,RB,CLE,24.0,18,3434,23,33,-30.303030303030305,57.0,,0,0
Luke Musgrave,Luke Musgrave,TE,GBP,23.0,17,3328,22,32,-31.25,55.0,,0,0
Jared Goff,Jared Goff,QB,DET,29.0,17,3899,22,38,-42.10526315789473,57.0,,0,0
Tyler Lockett,Tyler Lockett,WR,SEA,31.0,17,2638,22,25,-12.0,52.0,,0,0
Ben Sinnott,Ben Sinnott,TE,WAS,22.0,16,3445,21,34,-38.23529411764706,53.0,,0,0
Troy Franklin,Troy Franklin,WR,DEN,21.0,16,3609,21,35,-40.0,54.0,,0,0
Cole Kmet,Cole Kmet,TE,CHI,25.0,16,3255,21,32,-34.375,53.0,,0,0
Pat Freiermuth,Pat Freiermuth,TE,PIT,25.0,16,3523,21,34,-38.23529411764706,53.0,,0,0
Bryce Young,Bryce Young,QB,CAR,23.0,16,3521,21,34,-38.23529411764706,53.0,,0,0
Javon Baker,Javon Baker,WR,NEP,22.0,16,3002,21,29,-27.586206896551722,52.0,,0,0
Kimani Vidal,Kimani Vidal,RB,LAC,22.0,16,2778,21,27,-22.22222222222222,51.0,,0,0
Roman Wilson,Roman Wilson,WR,PIT,23.0,15,3592,19,35,-45.714285714285715,50.0,,0,0
Dallas Goedert,Dallas Goedert,TE,PHI,29.0,15,3169,19,31,-38.70967741935484,48.0,Dallas Goedert,0,1
Jalen McMillan,Jalen McMillan,WR,TBB,22.0,15,2898,19,28,-32.142857142857146,47.0,,0,0
Malachi Corley,Malachi Corley,WR,NYJ,22.0,15,2954,19,29,-34.48275862068966,48.0,,0,0
Khalil Shakir,Khalil Shakir,WR,BUF,24.0,15,3464,19,34,-44.11764705882353,49.0,,0,0
Deshaun Watson,Deshaun Watson,QB,CLE,28.0,15,2749,19,27,-29.629629629629626,47.0,,0,0
Roschon Johnson,Roschon Johnson,RB,CHI,23.0,15,2796,19,27,-29.629629629629626,47.0,,0,0
Rico Dowdle,Rico Dowdle,RB,DAL,26.0,15,2360,19,23,-17.391304347826086,46.0,Rico Dowdle,0,1
Ray Davis,Ray Davis,RB,BUF,24.0,15,2476,19,24,-20.833333333333336,46.0,Ray Davis,0,1
Brandin Cooks,Brandin Cooks,WR,DAL,30.0,14,2069,18,20,-10.0,43.0,,0,0
Dalton Schultz,Dalton Schultz,TE,HOU,28.0,14,3145,18,31,-41.935483870967744,46.0,,0,0
Quentin Johnston,Quentin Johnston,WR,LAC,22.0,14,3065,18,30,-40.0,46.0,,0,0
Braelon Allen,Braelon Allen,RB,NYJ,20.0,14,2693,18,26,-30.76923076923077,45.0,Braelon Allen,0,1
Geno Smith,Geno Smith,QB,SEA,33.0,13,1810,17,17,0.0,40.0,Geno Smith,0,1
Cade Otton,Cade Otton,TE,TBB,25.0,13,2202,17,21,-19.047619047619047,41.0,,0,0
Austin Ekeler,Austin Ekeler,RB,WAS,29.0,13,2700,17,26,-34.61538461538461,43.0,,0,0
Tyler Allgeier,Tyler Allgeier,RB,ATL,24.0,13,2514,17,24,-29.166666666666668,42.0,,0,0
Antonio Gibson,Antonio Gibson,RB,NEP,26.0,13,2307,17,22,-22.727272727272727,41.0,,0,0
Keaton Mitchell,Keaton Mitchell,RB,BAL,22.0,13,2940,17,29,-41.37931034482759,44.0,,0,0
Michael Wilson,Michael Wilson,WR,ARI,24.0,12,2946,15,29,-48.275862068965516,40.0,,0,0
Darnell Mooney,Darnell Mooney,WR,ATL,26.0,12,2306,15,22,-31.818181818181817,37.0,,0,0
Tyrone Tracy Jr.,Tyrone Tracy,RB,NYG,24.0,12,2443,15,24,-37.5,38.0,,0,0
Audric Estime,Audric Estime,RB,DEN,20.0,12,2694,15,26,-42.30769230769231,39.0,,0,0
Bucky Irving,Bucky Irving,RB,TBB,21.0,12,2748,15,27,-44.44444444444444,39.0,,0,0
Will Shipley,Will Shipley,RB,PHI,21.0,12,2361,15,23,-34.78260869565217,38.0,,0,0
Isaiah Likely,Isaiah Likely,TE,BAL,24.0,12,3235,15,31,-51.61290322580645,40.0,,0,0
Baker Mayfield,Baker Mayfield,QB,TBB,29.0,12,2688,15,26,-42.30769230769231,39.0,,0,0
Elijah Mitchell,Elijah Mitchell,RB,SFO,26.0,11,1974,14,19,-26.31578947368421,34.0,,0,0
Ezekiel Elliott,Ezekiel Elliott,RB,DAL,29.0,11,2234,14,21,-33.33333333333333,35.0,,0,0
DeMario Douglas,Demario Douglas,WR,NEP,23.0,11,3269,14,32,-56.25,39.0,,0,0
Jalin Hyatt,Jalin Hyatt,WR,NYG,22.0,11,2448,14,24,-41.66666666666667,36.0,,0,0
Joshua Palmer,Josh Palmer,WR,LAC,24.0,11,3086,14,30,-53.333333333333336,38.0,,0,0
Khalil Herbert,Khalil Herbert,RB,CHI,26.0,10,2152,13,21,-38.095238095238095,33.0,,0,0
Chuba Hubbard,Chuba Hubbard,RB,CAR,25.0,10,2251,13,22,-40.909090909090914,33.0,,0,0
Kirk Cousins,Kirk Cousins,QB,ATL,35.0,10,2906,13,28,-53.57142857142857,35.0,,0,0
Dameon Pierce,Dameon Pierce,RB,HOU,24.0,10,2241,13,21,-38.095238095238095,33.0,,0,0
Michael Mayer,Michael Mayer,TE,LVR,23.0,10,2791,13,27,-51.85185185185185,35.0,,0,0
Luke McCaffrey,Luke McCaffrey,WR,WAS,23.0,10,2756,13,27,-51.85185185185185,35.0,,0,0
Tank Bigsby,Tank Bigsby,RB,JAC,22.0,10,2173,13,21,-38.095238095238095,33.0,Tank Bigsby,0,1
Isaac Guerendo,Isaac Guerendo,RB,SFO,24.0,9,1976,11,19,-42.10526315789473,28.0,,0,0
Matthew Stafford,Matthew Stafford,QB,LAR,36.0,9,2675,11,26,-57.692307692307686,31.0,,0,0
Ja'Tavion Sanders,Ja'Tavion Sanders,TE,CAR,21.0,9,2513,11,24,-54.166666666666664,30.0,,0,0
Devontez Walker,Devontez Walker,WR,BAL,23.0,9,2082,11,20,-45.0,29.0,,0,0
Wan'Dale Robinson,Wan'Dale Robinson,WR,NYG,23.0,9,2563,11,25,-56.00000000000001,30.0,,0,0
Demarcus Robinson,Demarcus Robinson,WR,LAR,29.0,9,1326,11,12,-8.333333333333332,26.0,,0,0
J.K. Dobbins,J.K. Dobbins,RB,LAC,25.0,9,2487,11,24,-54.166666666666664,30.0,,0,0
Rasheen Ali,Rasheen Ali,RB,BAL,23.0,8,1794,10,17,-41.17647058823529,26.0,Rasheen Ali,0,1
Dylan Laube,Dylan Laube,RB,LVR,24.0,8,1778,10,17,-41.17647058823529,26.0,,0,0
Andrei Iosivas,Andrei Iosivas,WR,CIN,24.0,8,1439,10,13,-23.076923076923077,24.0,,1,0
Jacob Cowing,Jacob Cowing,WR,SFO,23.0,8,1511,10,14,-28.57142857142857,25.0,,1,0
Malik Washington,Malik Washington,WR,MIA,23.0,8,2028,10,19,-47.368421052631575,26.0,,1,0
Jonathan Mingo,Jonathan Mingo,WR,CAR,23.0,8,1992,10,19,-47.368421052631575,26.0,,0,0
Treylon Burks,Treylon Burks,WR,TEN,24.0,8,1785,10,17,-41.17647058823529,26.0,,1,0
D'Onta Foreman,D'Onta Foreman,RB,CLE,28.0,8,1467,10,14,-28.57142857142857,25.0,D'Onta Foreman,0,1
Clyde Edwards-Helaire,Clyde Edwards-Helaire,RB,KCC,25.0,8,1465,10,14,-28.57142857142857,25.0,,0,0
Chigoziem Okonkwo,Chigoziem Okonkwo,TE,TEN,24.0,8,2312,10,22,-54.54545454545454,27.0,,0,0
Elijah Moore,Elijah Moore,WR,CLE,24.0,7,1955,9,19,-52.63157894736842,24.0,,1,0
Tyler Conklin,Tyler Conklin,TE,NYJ,28.0,7,1390,9,13,-30.76923076923077,22.0,,0,0
Will Levis,Will Levis,QB,TEN,25.0,7,3019,9,29,-68.96551724137932,28.0,,0,0
Bo Nix,Bo Nix,QB,DEN,24.0,7,2823,9,27,-66.66666666666666,27.0,,0,0
Noah Fant,Noah Fant,TE,SEA,26.0,7,2021,9,19,-52.63157894736842,24.0,,0,0
A.T. Perry,A.T. Perry,WR,NOS,24.0,7,1783,9,17,-47.05882352941176,24.0,,1,0
Trey Sermon,Trey Sermon,RB,IND,25.0,7,1414,9,13,-30.76923076923077,22.0,,1,0
Hunter Henry,Hunter Henry,TE,NEP,29.0,6,1769,7,17,-58.82352941176471,20.0,,0,0
Michael Thomas,Michael Thomas,WR,FA,31.0,6,232,7,1,600.0,14.0,,0,0
Trey Palmer,Trey Palmer,WR,TBB,23.0,6,2033,7,19,-63.1578947368421,20.0,,1,0
Greg Dortch,Greg Dortch,WR,ARI,26.0,6,1728,7,16,-56.25,19.0,,0,0
Theo Johnson,Theo Johnson,TE,NYG,23.0,6,1880,7,18,-61.111111111111114,20.0,,0,0
Aaron Rodgers,Aaron Rodgers,QB,NYJ,40.0,6,2214,7,21,-66.66666666666666,21.0,Aaron Rodgers,0,1
Michael Penix Jr.,Michael Penix Jr.,QB,ATL,24.0,5,2904,6,28,-78.57142857142857,21.0,,0,0
Erick All Jr.,Erick All,TE,CIN,23.0,5,1635,6,15,-60.0,17.0,,1,0
Jared Wiley,Jared Wiley,TE,KCC,23.0,5,1539,6,14,-57.14285714285714,17.0,,1,0
Jalen Tolbert,Jalen Tolbert,WR,DAL,25.0,5,1482,6,14,-57.14285714285714,17.0,,1,0
Cedric Tillman,Cedric Tillman,WR,CLE,24.0,5,1616,6,15,-60.0,17.0,,0,0
Darius Slayton,Darius Slayton,WR,NYG,27.0,5,1423,6,13,-53.84615384615385,16.0,,0,0
Adam Thielen,Adam Thielen,WR,CAR,33.0,5,1649,6,16,-62.5,17.0,,0,0
