Player,Matched_Player_Name,Position,Team,Age,JB Trade Value,KTC Trade Value,JB_normalized,KTC_normalized,Value_Difference,weighted_avg_trade_value,BestMatch,free_agent_indicator,rostered_indicator
Justin Jefferson,Justin Jefferson,WR,MIN,25,76,9999,100,100,0,100.0,Justin Jefferson,0,1
Ja'Marr Chase,Ja'Marr Chase,WR,CIN,24,75,9999,98,100,-2,99.0,,0,0
CeeDee Lamb,CeeDee Lamb,WR,DAL,25,74,9984,97,99,-2,98.0,,0,0
Amon-Ra St. Brown,Amon-Ra St. Brown,WR,DET,24,71,9422,93,94,-1,93.0,,0,0
Garrett Wilson,Garrett Wilson,WR,NYJ,24,70,7932,92,79,13,88.0,Garrett Wilson,0,1
Puka Nacua,Puka Nacua,WR,LAR,23,70,7963,92,79,13,88.0,,0,0
Marvin Harrison Jr.,Marvin Harrison Jr.,WR,ARI,21,69,8970,90,89,1,90.0,,0,0
Bijan Robinson,Bijan Robinson,RB,ATL,22,69,9495,90,94,-4,91.0,,0,0
Breece Hall,Breece Hall,RB,NYJ,23,68,8825,89,88,1,89.0,,0,0
Josh Allen,Josh Allen,QB,BUF,28,64,7767,84,77,7,82.0,Josh Allen,0,1
Malik Nabers,Malik Nabers,WR,NYG,20,63,7730,82,77,5,80.0,,0,0
Jahmyr Gibbs,Jahmyr Gibbs,RB,DET,22,63,8479,82,84,-2,83.0,,0,0
A.J. Brown,A.J. Brown,WR,PHI,27,62,7784,81,77,4,80.0,,0,0
Patrick Mahomes II,Patrick Mahomes,QB,KCC,28,62,7675,81,76,5,79.0,,0,0
Christian McCaffrey,Christian McCaffrey,RB,SFO,28,61,8031,80,80,0,80.0,,0,0
Tyreek Hill,Tyreek Hill,WR,MIA,30,60,7082,78,70,8,75.0,,0,0
Jonathan Taylor,Jonathan Taylor,RB,IND,25,60,6911,78,68,10,75.0,,0,0
Brandon Aiyuk,Brandon Aiyuk,WR,SFO,26,59,6698,77,66,11,73.0,,0,0
Drake London,Drake London,WR,ATL,23,59,7060,77,70,7,75.0,,0,0
Chris Olave,Chris Olave,WR,NOS,24,58,7131,76,71,5,74.0,,0,0
C.J. Stroud,C.J. Stroud,QB,HOU,22,58,6926,76,68,8,73.0,,0,0
Jaylen Waddle,Jaylen Waddle,WR,MIA,25,57,7092,75,70,5,73.0,,0,0
Nico Collins,Nico Collins,WR,HOU,25,56,6672,73,66,7,71.0,,0,0
Jalen Hurts,Jalen Hurts,QB,PHI,25,55,6739,72,67,5,70.0,,0,0
De'Von Achane,De'Von Achane,RB,MIA,22,55,6615,72,65,7,70.0,De'Von Achane,0,1
Lamar Jackson,Lamar Jackson,QB,BAL,27,54,6766,71,67,4,70.0,,0,0
DK Metcalf,DK Metcalf,WR,SEA,26,54,6205,71,61,10,68.0,,0,0
DeVonta Smith,DeVonta Smith,WR,PHI,25,54,6658,71,66,5,69.0,,0,0
DJ Moore,D.J. Moore,WR,CHI,27,52,6135,68,60,8,65.0,,0,0
George Pickens,George Pickens,WR,PIT,23,51,6031,67,59,8,64.0,,0,0
Travis Etienne Jr.,Travis Etienne,RB,JAC,25,50,6487,65,64,1,65.0,Travis Etienne Jr.,0,1
Anthony Richardson,Anthony Richardson,QB,IND,22,49,6511,64,64,0,64.0,,0,0
Tank Dell,Tank Dell,WR,HOU,24,49,6143,64,61,3,63.0,,0,0
Rome Odunze,Rome Odunze,WR,CHI,22,48,6804,63,67,-4,64.0,,0,0
Joe Burrow,Joe Burrow,QB,CIN,27,47,6118,61,60,1,61.0,,0,0
Saquon Barkley,Saquon Barkley,RB,PHI,27,47,6279,61,62,-1,61.0,Saquon Barkley,0,1
Kenneth Walker III,Kenneth Walker III,RB,SEA,23,45,5959,59,59,0,59.0,,0,0
Kyren Williams,Kyren Williams,RB,LAR,23,45,6233,59,61,-2,60.0,,0,0
Michael Pittman Jr.,Michael Pittman,WR,IND,26,45,6126,59,60,-1,59.0,,0,0
Tee Higgins,Tee Higgins,WR,CIN,25,45,6129,59,60,-1,59.0,Tee Higgins,0,1
Sam LaPorta,Sam LaPorta,TE,DET,23,45,7765,59,77,-18,65.0,,0,0
Xavier Worthy,Xavier Worthy,WR,KCC,21,44,5574,57,55,2,56.0,,0,0
Rashee Rice,Rashee Rice,WR,KCC,24,44,5168,57,51,6,55.0,,0,0
James Cook,James Cook,RB,BUF,24,43,5788,56,57,-1,56.0,,0,0
Jaxon Smith-Njigba,Jaxon Smith-Njigba,WR,SEA,22,43,5983,56,59,-3,57.0,,0,0
Zay Flowers,Zay Flowers,WR,BAL,23,43,6174,56,61,-5,58.0,,0,0
Caleb Williams,Caleb Williams,QB,CHI,22,43,5935,56,58,-2,57.0,,0,0
Kyler Murray,Kyler Murray,QB,ARI,26,42,5579,55,55,0,55.0,,0,0
Dalton Kincaid,Dalton Kincaid,TE,BUF,24,41,6413,53,63,-10,56.0,,0,0
Deebo Samuel Sr.,Deebo Samuel,WR,SFO,28,41,5507,53,54,-1,53.0,,0,0
Isiah Pacheco,Isiah Pacheco,RB,KCC,25,40,5875,52,58,-6,54.0,,0,0
Trey McBride,Trey McBride,TE,ARI,24,40,6464,52,64,-12,56.0,Trey McBride,0,1
Justin Herbert,Justin Herbert,QB,LAC,26,40,5772,52,57,-5,54.0,,0,0
Mike Evans,Mike Evans,WR,TBB,30,39,5020,51,49,2,50.0,,0,0
Brian Thomas Jr.,Brian Thomas Jr.,WR,JAC,21,39,5678,51,56,-5,53.0,,1,0
Davante Adams,Davante Adams,WR,LVR,31,39,5044,51,49,2,50.0,,0,0
Jayden Reed,Jayden Reed,WR,GBP,24,39,5304,51,52,-1,51.0,,0,0
Jonathon Brooks,Jonathon Brooks,RB,CAR,21,39,6118,51,60,-9,54.0,,0,0
Christian Kirk,Christian Kirk,WR,JAC,27,38,4737,50,46,4,49.0,,0,0
Mark Andrews,Mark Andrews,TE,BAL,28,38,5747,50,57,-7,52.0,,0,0
Brock Bowers,Brock Bowers,TE,LVR,21,37,6285,48,62,-14,53.0,,0,0
Josh Jacobs,Josh Jacobs,RB,GBP,26,37,5213,48,51,-3,49.0,,0,0
Stefon Diggs,Stefon Diggs,WR,HOU,30,37,4295,48,42,6,46.0,,0,0
