Player,Team,Position,Age,KTC Trade Value,KTC_normalized
Ja'Marr Chase,CIN,WR,24,9999,100
Justin Jefferson,MIN,WR,25,9995,99
CeeDee Lamb,DAL,WR,25,9981,99
Bijan Robinson,ATL,RB,22,9515,95
Amon-Ra St. Brown,DET,WR,24,9445,94
Marvin Harrison Jr.,ARI,WR,22,8988,89
Breece Hall,NYJ,RB,23,8853,88
Jahmyr Gibbs,DET,RB,22,8407,83
Christian McCaffrey,SFO,RB,28,8008,79
Puka Nacua,LAR,WR,23,8001,79
Garrett Wilson,NYJ,WR,24,7891,78
A.J. Brown,PHI,WR,27,7801,77
Patrick Mahomes,KCC,QB,28,7742,77
Josh Allen,BUF,QB,28,7741,77
Sam LaPorta,DET,TE,23,7699,76
Malik Nabers,NYG,WR,21,7641,76
2024 Early 1st,FA,PICK,,7281,72
Tyreek Hill,MIA,WR,30,7122,70
Chris Olave,NOS,WR,24,7094,70
Jaylen Waddle,MIA,WR,25,7079,70
Drake London,ATL,WR,23,7069,70
Jonathan Taylor,IND,RB,25,6949,69
C.J. Stroud,HOU,QB,22,6921,68
Lamar Jackson,BAL,QB,27,6751,67
DeVonta Smith,PHI,WR,25,6737,67
2025 Early 1st,FA,PICK,,6731,66
Rome Odunze,CHI,WR,22,6725,66
Brandon Aiyuk,SFO,WR,26,6705,66
Nico Collins,HOU,WR,25,6693,66
Jalen Hurts,PHI,QB,26,6677,66
De'Von Achane,MIA,RB,22,6632,65
Trey McBride,ARI,TE,24,6575,65
Travis Etienne,JAC,RB,25,6528,64
Anthony Richardson,IND,QB,22,6490,64
Dalton Kincaid,BUF,TE,24,6440,64
DK Metcalf,SEA,WR,26,6260,62
Kyren Williams,LAR,RB,23,6236,61
Michael Pittman,IND,WR,26,6232,61
Brock Bowers,LVR,TE,21,6224,61
Saquon Barkley,PHI,RB,27,6192,61
Jonathon Brooks,CAR,RB,21,6182,61
2024 Mid 1st,FA,PICK,,6166,61
Joe Burrow,CIN,QB,27,6150,61
Tank Dell,HOU,WR,24,6146,61
Kyle Pitts,ATL,TE,23,6141,60
Zay Flowers,BAL,WR,23,6128,60
D.J. Moore,CHI,WR,27,6112,60
George Pickens,PIT,WR,23,6070,60
2026 Early 1st,FA,PICK,,6008,59
Tee Higgins,CIN,WR,25,6000,59
Caleb Williams,CHI,QB,22,5964,59
Jaxon Smith-Njigba,SEA,WR,22,5932,58
Isiah Pacheco,KCC,RB,25,5916,58
Kenneth Walker III,SEA,RB,23,5849,58
Mark Andrews,BAL,TE,28,5820,57
2025 Mid 1st,FA,PICK,,5812,57
Justin Herbert,LAC,QB,26,5753,57
Jordan Love,GBP,QB,25,5743,56
Brian Thomas Jr.,JAC,WR,21,5712,56
James Cook,BUF,RB,24,5672,56
Kyler Murray,ARI,QB,27,5568,55
Xavier Worthy,KCC,WR,21,5547,54
Ladd McConkey,LAC,WR,22,5526,54
Rachaad White,TBB,RB,25,5496,54
2024 Late 1st,FA,PICK,,5475,54
Deebo Samuel,SFO,WR,28,5464,54
Jayden Reed,GBP,WR,24,5454,54
Jordan Addison,MIN,WR,22,5454,54
Jayden Daniels,WAS,QB,23,5414,53
T.J. Hockenson,MIN,TE,27,5396,53
2026 Mid 1st,FA,PICK,,5297,52
2025 Late 1st,FA,PICK,,5264,52
Josh Jacobs,GBP,RB,26,5233,51
Trey Benson,ARI,RB,22,5200,51
Davante Adams,LVR,WR,31,5107,50
Mike Evans,TBB,WR,30,5063,50
Rashee Rice,KCC,WR,24,5025,49
Keon Coleman,BUF,WR,21,4960,49
Travis Kelce,KCC,TE,34,4953,48
Trevor Lawrence,JAC,QB,24,4786,47
Cooper Kupp,LAR,WR,31,4784,47
2026 Late 1st,FA,PICK,,4729,46
Christian Kirk,JAC,WR,27,4718,46
Rhamondre Stevenson,NEP,RB,26,4715,46
Derrick Henry,BAL,RB,30,4701,46
Terry McLaurin,WAS,WR,28,4584,45
D'Andre Swift,CHI,RB,25,4583,45
Ricky Pearsall,SFO,WR,23,4561,44
Zamir White,LVR,RB,24,4512,44
Chris Godwin,TBB,WR,28,4511,44
Amari Cooper,CLE,WR,30,4504,44
Tyjae Spears,TEN,RB,23,4502,44
Christian Watson,GBP,WR,25,4489,44
Brock Purdy,SFO,QB,24,4461,43
Dak Prescott,DAL,QB,31,4440,43
Joe Mixon,HOU,RB,28,4409,43
George Kittle,SFO,TE,30,4390,43
Adonai Mitchell,IND,WR,21,4356,42
2024 Early 2nd,FA,PICK,,4331,42
Stefon Diggs,HOU,WR,30,4323,42
Tua Tagovailoa,MIA,QB,26,4295,42
David Montgomery,DET,RB,27,4284,42
Jaylen Warren,PIT,RB,25,4259,41
Blake Corum,LAR,RB,23,4247,41
Marquise Brown,KCC,WR,27,4228,41
Najee Harris,PIT,RB,26,4193,41
Jake Ferguson,DAL,TE,25,4164,40
Evan Engram,JAC,TE,29,4163,40
Xavier Legette,CAR,WR,23,4152,40
Diontae Johnson,CAR,WR,28,4114,40
2025 Early 2nd,FA,PICK,,4107,40
Jameson Williams,DET,WR,23,4068,40
Brian Robinson,WAS,RB,25,4051,39
Calvin Ridley,TEN,WR,29,4044,39
David Njoku,CLE,TE,28,4043,39
Alvin Kamara,NOS,RB,29,4015,39
Ja'Lynn Polk,NEP,WR,22,3985,39
2024 Mid 2nd,FA,PICK,,3914,38
MarShawn Lloyd,GBP,RB,23,3908,38
Zach Charbonnet,SEA,RB,23,3896,38
Dontayvion Wicks,GBP,WR,23,3855,37
Tony Pollard,TEN,RB,27,3835,37
Jared Goff,DET,QB,29,3819,37
Drake Maye,NEP,QB,21,3790,37
Kendre Miller,NOS,RB,22,3781,37
Josh Downs,IND,WR,22,3752,36
Keenan Allen,CHI,WR,32,3732,36
Javonte Williams,DEN,RB,24,3722,36
Romeo Doubs,GBP,WR,24,3721,36
Jaylen Wright,MIA,RB,21,3716,36
Jermaine Burton,CIN,WR,23,3710,36
2025 Mid 2nd,FA,PICK,,3647,35
Aaron Jones,MIN,RB,29,3618,35
Zack Moss,CIN,RB,26,3612,35
James Conner,ARI,RB,29,3594,35
Pat Freiermuth,PIT,TE,25,3568,34
Jerome Ford,CLE,RB,24,3567,34
Khalil Shakir,BUF,WR,24,3566,34
Jahan Dotson,WAS,WR,24,3540,34
2024 Late 2nd,FA,PICK,,3510,34
Chase Brown,CIN,RB,24,3501,34
2026 Early 2nd,FA,PICK,,3497,34
J.J. McCarthy,MIN,QB,21,3495,34
Roman Wilson,PIT,WR,23,3469,33
Bryce Young,CAR,QB,23,3462,33
Nick Chubb,CLE,RB,28,3461,33
Troy Franklin,DEN,WR,21,3422,33
Luke Musgrave,GBP,TE,23,3408,33
Ben Sinnott,WAS,TE,22,3378,33
Rashid Shaheed,NOS,WR,25,3349,32
Jerry Jeudy,CLE,WR,25,3340,32
Devin Singletary,NYG,RB,26,3311,32
2025 Late 2nd,FA,PICK,,3283,32
Cole Kmet,CHI,TE,25,3282,32
Dalton Schultz,HOU,TE,28,3251,31
Courtland Sutton,DEN,WR,28,3229,31
2026 Mid 2nd,FA,PICK,,3229,31
Josh Palmer,LAC,WR,24,3219,31
Demario Douglas,NEP,WR,23,3165,30
Jakobi Meyers,LVR,WR,27,3158,30
Isaiah Likely,BAL,TE,24,3157,30
DeAndre Hopkins,TEN,WR,32,3129,30
Dallas Goedert,PHI,TE,29,3121,30
Raheem Mostert,MIA,RB,32,3120,30
Michael Wilson,ARI,WR,24,3063,29
Will Levis,TEN,QB,25,3017,29
Kimani Vidal,LAC,RB,22,3001,29
Jaleel McLaughlin,DEN,RB,23,2992,29
Curtis Samuel,BUF,WR,28,2984,29
Michael Penix Jr.,ATL,QB,24,2974,28
