Player,Team,Position,Age,KTC Trade Value,KTC_normalized
Justin Jefferson,MIN,WR,25,9999,100
CeeDee Lamb,DAL,WR,25,9994,99
Ja'Marr Chase,CIN,WR,24,9985,99
Amon-Ra St. Brown,DET,WR,24,9473,94
Bijan Robinson,ATL,RB,22,9469,94
Marvin Harrison Jr.,ARI,WR,21,9005,89
Breece Hall,NYJ,RB,23,8904,88
Jahmyr Gibbs,DET,RB,22,8444,84
Puka Nacua,LAR,WR,23,8019,79
Christian McCaffrey,SFO,RB,28,8012,79
Garrett Wilson,NYJ,WR,24,7957,79
A.J. Brown,PHI,WR,27,7754,77
Josh Allen,BUF,QB,28,7730,77
Sam LaPorta,DET,TE,23,7724,76
Patrick Mahomes,KCC,QB,28,7710,76
Malik Nabers,NYG,WR,21,7643,76
2024 Early 1st,FA,PICK,,7290,72
Tyreek Hill,MIA,WR,30,7103,70
Jaylen Waddle,MIA,WR,25,7101,70
Chris Olave,NOS,WR,24,7067,70
Drake London,ATL,WR,23,7050,70
Jonathan Taylor,IND,RB,25,6935,68
C.J. Stroud,HOU,QB,22,6919,68
Lamar Jackson,BAL,QB,27,6775,67
Rome Odunze,CHI,WR,22,6774,67
DeVonta Smith,PHI,WR,25,6722,66
2025 Early 1st,FA,PICK,,6718,66
Brandon Aiyuk,SFO,WR,26,6717,66
Jalen Hurts,PHI,QB,26,6688,66
De'Von Achane,MIA,RB,22,6673,66
Nico Collins,HOU,WR,25,6650,66
Travis Etienne,JAC,RB,25,6580,65
Trey McBride,ARI,TE,24,6556,65
Anthony Richardson,IND,QB,22,6501,64
Dalton Kincaid,BUF,TE,24,6436,63
Brock Bowers,LVR,TE,21,6321,62
Kyren Williams,LAR,RB,23,6236,61
Saquon Barkley,PHI,RB,27,6208,61
Kyle Pitts,ATL,TE,23,6178,61
D.J. Moore,CHI,WR,27,6177,61
Michael Pittman,IND,WR,26,6173,61
Zay Flowers,BAL,WR,23,6173,61
2024 Mid 1st,FA,PICK,,6159,61
DK Metcalf,SEA,WR,26,6147,60
Jonathon Brooks,CAR,RB,21,6139,60
Joe Burrow,CIN,QB,27,6137,60
Tank Dell,HOU,WR,24,6100,60
2026 Early 1st,FA,PICK,,6082,60
George Pickens,PIT,WR,23,6062,60
Tee Higgins,CIN,WR,25,6008,59
Jaxon Smith-Njigba,SEA,WR,22,5955,59
Caleb Williams,CHI,QB,22,5953,58
Isiah Pacheco,KCC,RB,25,5921,58
Kenneth Walker III,SEA,RB,23,5882,58
Mark Andrews,BAL,TE,28,5808,57
Jordan Love,GBP,QB,25,5796,57
2025 Mid 1st,FA,PICK,,5796,57
Justin Herbert,LAC,QB,26,5728,56
James Cook,BUF,RB,24,5719,56
Brian Thomas Jr.,JAC,WR,21,5659,56
Kyler Murray,ARI,QB,27,5593,55
Xavier Worthy,KCC,WR,21,5555,54
Ladd McConkey,LAC,WR,22,5500,54
Rachaad White,TBB,RB,25,5473,54
2024 Late 1st,FA,PICK,,5472,54
Deebo Samuel,SFO,WR,28,5466,54
T.J. Hockenson,MIN,TE,27,5435,53
Jayden Daniels,WAS,QB,23,5428,53
Jordan Addison,MIN,WR,22,5417,53
Jayden Reed,GBP,WR,24,5350,52
2026 Mid 1st,FA,PICK,,5315,52
Josh Jacobs,GBP,RB,26,5269,52
2025 Late 1st,FA,PICK,,5264,52
Trey Benson,ARI,RB,22,5113,50
Davante Adams,LVR,WR,31,5091,50
Rashee Rice,KCC,WR,24,5077,50
Mike Evans,TBB,WR,30,5059,49
Keon Coleman,BUF,WR,21,4979,49
Travis Kelce,KCC,TE,34,4949,48
Rhamondre Stevenson,NEP,RB,26,4777,47
Trevor Lawrence,JAC,QB,24,4737,46
2026 Late 1st,FA,PICK,,4727,46
Christian Kirk,JAC,WR,27,4717,46
Cooper Kupp,LAR,WR,31,4711,46
Derrick Henry,BAL,RB,30,4685,46
Ricky Pearsall,SFO,WR,23,4634,45
D'Andre Swift,CHI,RB,25,4615,45
Terry McLaurin,WAS,WR,28,4606,45
Christian Watson,GBP,WR,25,4563,44
Zamir White,LVR,RB,24,4524,44
Chris Godwin,TBB,WR,28,4520,44
