PlayerID,Name,Team,Position,Age,Non-SF Value
devontez-walker-1592,Devontez Walker,BAL,WR,23,2098
elijah-moore-1012,Elijah Moore,CLE,WR,24,2093
2026-early-3rd-1533,2026 Early 3rd,FA,PICK,,2039
brenden-rice-1594,Brenden Rice,LAC,WR,22,2020
khalil-herbert-994,Khalil Herbert,CHI,RB,26,2006
malik-washington-1623,Malik Washington,MIA,WR,23,1987
theo-johnson-1620,Theo Johnson,NYG,TE,23,1981
daniel-bellinger-1322,Daniel Bellinger,NYG,TE,23,1979
isaac-guerendo-1626,Isaac Guerendo,SFO,RB,24,1971
jonathan-mingo-1450,Jonathan Mingo,CAR,WR,23,1938
2026-mid-3rd-1534,2026 Mid 3rd,FA,PICK,,1935
brandin-cooks-307,Brandin Cooks,DAL,WR,30,1928
trey-palmer-1452,Trey Palmer,TBB,WR,23,1916
2025-late-3rd-1369,2025 Late 3rd,FA,PICK,,1882
rondale-moore-1006,Rondale Moore,ATL,WR,24,1882
daniel-jones-87,Daniel Jones,NYG,QB,27,1876
dylan-laube-1584,Dylan Laube,LVR,RB,24,1876
geno-smith-671,Geno Smith,SEA,QB,33,1839
treylon-burks-1269,Treylon Burks,TEN,WR,24,1832
elijah-mitchell-1013,Elijah Mitchell,SFO,RB,26,1785
jelani-woods-1305,Jelani Woods,IND,TE,25,1781
rasheen-ali-1631,Rasheen Ali,BAL,RB,23,1778
dawson-knox-88,Dawson Knox,BUF,TE,27,1764
at-perry-1449,A.T. Perry,NOS,WR,24,1748
noah-fant-243,Noah Fant,SEA,TE,26,1745
2026-late-3rd-1535,2026 Late 3rd,FA,PICK,,1722
zay-jones-327,Zay Jones,ARI,WR,29,1717
tyler-boyd-231,Tyler Boyd,TEN,WR,29,1694
greg-dortch-10,Greg Dortch,ARI,WR,26,1690
russell-wilson-257,Russell Wilson,PIT,QB,35,1680
alec-pierce-1285,Alec Pierce,IND,WR,24,1675
erick-all-1616,Erick All,CIN,TE,23,1657
evan-hull-1395,Evan Hull,IND,RB,23,1656
2024-early-4th-1302,2024 Early 4th,FA,PICK,,1655
sam-howell-1209,Sam Howell,SEA,QB,23,1641
adam-thielen-308,Adam Thielen,CAR,WR,33,1641
hunter-henry-212,Hunter Henry,NEP,TE,29,1623
cade-stover-1613,Cade Stover,HOU,TE,24,1622
chris-rodriguez-1389,Chris Rodriguez,WAS,RB,23,1619
luke-schoonmaker-1382,Luke Schoonmaker,DAL,TE,25,1604
derek-carr-85,Derek Carr,NOS,QB,33,1603
2024-mid-4th-1303,2024 Mid 4th,FA,PICK,,1599
jacob-cowing-1611,Jacob Cowing,SFO,WR,23,1590
frank-gore-jr-1570,Frank Gore Jr.,BUF,RB,22,1577
2025-early-4th-1370,2025 Early 4th,FA,PICK,,1565
parker-washington-1445,Parker Washington,JAC,WR,22,1559
spencer-rattler-1557,Spencer Rattler,NOS,QB,23,1542
tutu-atwell-1078,Tutu Atwell,LAR,WR,24,1533
tre-tucker-1460,Tre Tucker,LVR,WR,23,1530
dj-chark-361,D.J. Chark,LAC,WR,27,1528
gardner-minshew-47,Gardner Minshew,LVR,QB,28,1522
jauan-jennings-576,Jauan Jennings,SFO,WR,26,1519
jalen-tolbert-1247,Jalen Tolbert,DAL,WR,25,1517
clyde-edwards-helaire-633,Clyde Edwards-Helaire,KCC,RB,25,1515
kendrick-bourne-153,Kendrick Bourne,NEP,WR,28,1506
alexander-mattison-326,Alexander Mattison,LVR,RB,26,1500
tyler-conklin-489,Tyler Conklin,NYJ,TE,28,1488
eric-gray-1388,Eric Gray,NYG,RB,24,1487
xavier-gipson-1504,Xavier Gipson,NYJ,WR,23,1480
john-metchie-1276,John Metchie,HOU,WR,23,1468
bo-melton-1244,Bo Melton,GBP,WR,25,1460
d-onta-foreman-358,D'Onta Foreman,CLE,RB,28,1453
juwan-johnson-575,Juwan Johnson,NOS,TE,27,1450
2024-late-4th-1304,2024 Late 4th,FA,PICK,,1431
aj-dillon-631,AJ Dillon,GBP,RB,26,1431
cedric-tillman-1444,Cedric Tillman,CLE,WR,24,1427
deuce-vaughn-1391,Deuce Vaughn,DAL,RB,22,1419
2025-mid-4th-1371,2025 Mid 4th,FA,PICK,,1415
jonnu-smith-84,Jonnu Smith,MIA,TE,28,1411
trey-sermon-1034,Trey Sermon,IND,RB,25,1393
jared-wiley-1619,Jared Wiley,KCC,TE,23,1392
calvin-austin-iii-1262,Calvin Austin III,PIT,WR,25,1392
mike-gesicki-330,Mike Gesicki,CIN,TE,28,1387
darius-slayton-77,Darius Slayton,NYG,WR,27,1383
chase-claypool-537,Chase Claypool,BUF,WR,26,1379
2026-early-4th-1536,2026 Early 4th,FA,PICK,,1365
miles-sanders-222,Miles Sanders,CAR,RB,27,1359
kenneth-gainwell-1032,Kenneth Gainwell,PHI,RB,25,1356
israel-abanikanda-1383,Israel Abanikanda,NYJ,RB,21,1350
johnny-wilson-1596,Johnny Wilson,PHI,WR,23,1343
colby-parkinson-565,Colby Parkinson,LAR,TE,25,1336
darnell-washington-1431,Darnell Washington,PIT,TE,22,1298
kj-osborn-912,K.J. Osborn,NEP,WR,27,1297
2025-late-4th-1372,2025 Late 4th,FA,PICK,,1294
andrei-iosivas-1422,Andrei Iosivas,CIN,WR,24,1288
bub-means-1634,Bub Means,NOS,WR,23,1271
aidan-o-connell-1412,Aidan O'Connell,LVR,QB,25,1269
brevin-jordan-1052,Brevin Jordan,HOU,TE,23,1249
sean-tucker-1400,Sean Tucker,TBB,RB,22,1247
noah-brown-776,Noah Brown,HOU,WR,26,1243
ainias-smith-1624,Ainias Smith,PHI,WR,23,1234
skyy-moore-1283,Skyy Moore,KCC,WR,23,1230
isaiah-spiller-1225,Isaiah Spiller,LAC,RB,22,1225
justice-hill-368,Justice Hill,BAL,RB,26,1218
noah-gray-1059,Noah Gray,KCC,TE,25,1217
jamari-thrash-1595,Jamari Thrash,CLE,WR,23,1206
josh-reynolds-61,Josh Reynolds,DEN,WR,29,1203
dewayne-mcbride-1394,DeWayne McBride,MIN,RB,23,1198
isaiah-davis-1635,Isaiah Davis,NYJ,RB,22,1194
2026-mid-4th-1537,2026 Mid 4th,FA,PICK,,1190
dillon-johnson-1580,Dillon Johnson,TEN,RB,23,1182
sam-darnold-331,Sam Darnold,MIN,QB,27,1169
zach-evans-1416,Zach Evans,LAR,RB,23,1140
xavier-hutchinson-1454,Xavier Hutchinson,HOU,WR,24,1131
tyler-higbee-159,Tyler Higbee,LAR,TE,31,1130
donovan-peoples-jones-579,Donovan Peoples-Jones,DET,WR,25,1129
kayshon-boutte-1446,Kayshon Boutte,NEP,WR,22,1123
taysom-hill-150,Taysom Hill,NOS,QB,33,1122
tyquan-thornton-1246,Tyquan Thornton,NEP,WR,23,1100
2026-late-4th-1538,2026 Late 4th,FA,PICK,,1092
michael-gallup-237,Michael Gallup,LVR,WR,28,1072
davis-allen-1434,Davis Allen,LAR,TE,23,1064
trey-lance-1017,Trey Lance,DAL,QB,24,1058
jase-mcclellan-1576,Jase McClellan,ATL,RB,22,1054
malik-davis-1197,Malik Davis,DAL,RB,25,1042
blake-watson-1647,Blake Watson,DEN,RB,24,1024
kj-hamler-541,KJ Hamler,BUF,WR,25,1023
demarcus-robinson-52,Demarcus Robinson,LAR,WR,29,995
chris-evans-998,Chris Evans,CIN,RB,26,990
tyler-scott-1436,Tyler Scott,CHI,WR,22,980
mecole-hardman-404,Mecole Hardman,KCC,WR,26,973
juju-smith-schuster-276,JuJu Smith-Schuster,NEP,WR,27,970
david-bell-1275,David Bell,CLE,WR,23,963
tahj-washington-1644,Tahj Washington,MIA,WR,23,960
donald-parham-882,Donald Parham,LAC,TE,26,957
louis-rees-zammit-1622,Louis Rees-Zammit,KCC,RB,23,936
odell-beckham-279,Odell Beckham,MIA,WR,31,934
hayden-hurst-8,Hayden Hurst,LAC,TE,30,922
kadarius-toney-1039,Kadarius Toney,KCC,WR,25,907
dyami-brown-1069,Dyami Brown,WAS,WR,24,896
marquez-valdes-scantling-369,Marquez Valdes-Scantling,BUF,WR,29,895
brenton-strange-1461,Brenton Strange,JAC,TE,23,884
isaiah-hodgins-561,Isaiah Hodgins,NYG,WR,25,879
irv-smith-399,Irv Smith,KCC,TE,25,869
sione-vaki-1627,Sione Vaki,DET,RB,22,854
terrace-marshall-1085,Terrace Marshall,CAR,WR,24,851
jordan-mason-1330,Jordan Mason,SFO,RB,25,832
van-jefferson-578,Van Jefferson,PIT,WR,27,830
derius-davis-1473,Derius Davis,LAC,WR,23,827
justin-shorter-1425,Justin Shorter,BUF,WR,24,823
michael-carter-1035,Michael Carter,ARI,RB,25,823
justyn-ross-1280,Justyn Ross,KCC,WR,24,815
keaontay-ingram-1193,Keaontay Ingram,KCC,RB,24,794
jeremy-ruckert-1255,Jeremy Ruckert,NYJ,TE,23,777
cole-turner-1179,Cole Turner,WAS,TE,24,775
parris-campbell-313,Parris Campbell,PHI,WR,26,773
gerald-everett-55,Gerald Everett,CHI,TE,30,764
samaje-perine-785,Samaje Perine,DEN,RB,28,762
pierre-strong-jr-1204,Pierre Strong Jr.,CLE,RB,25,761
charlie-jones-1455,Charlie Jones,CIN,WR,25,761
jake-bobo-1488,Jake Bobo,SEA,WR,25,759
tommy-tremble-1054,Tommy Tremble,CAR,TE,24,753
emari-demercado-1481,Emari Demercado,ARI,RB,25,753
jacoby-brissett-20,Jacoby Brissett,NEP,QB,31,745
quez-watkins-914,Quez Watkins,PIT,WR,26,744
trayveon-williams-99,Trayveon Williams,CIN,RB,26,738
will-dissly-86,Will Dissly,LAC,TE,28,737
kevin-harris-1205,Kevin Harris,NEP,RB,23,727
ty-johnson-6,Ty Johnson,BUF,RB,26,726
allen-lazard-46,Allen Lazard,NYJ,WR,28,720
kenny-mcintosh-1385,Kenny McIntosh,SEA,RB,24,717
zach-ertz-305,Zach Ertz,WAS,TE,33,712
aj-barner-1629,AJ Barner,SEA,TE,22,703
ronnie-bell-1439,Ronnie Bell,SFO,WR,24,703
rakim-jarrett-1451,Rakim Jarrett,TBB,WR,23,700
tyrion-davis-price-1234,Tyrion Davis-Price,PHI,RB,23,688
deneric-prince-1476,Deneric Prince,KCC,RB,24,687
jordan-travis-1560,Jordan Travis,NYJ,QB,24,682
