PlayerID,Name,Team,Position,Age,Non-SF Value
ceedee-lamb-546,CeeDee Lamb,DAL,WR,25,9998
justin-jefferson-542,Justin Jefferson,MIN,WR,25,9985
ja-marr-chase-1004,Ja'Marr Chase,CIN,WR,24,9939
bijan-robinson-1414,Bijan Robinson,ATL,RB,22,9447
amon-ra-st-brown-1010,Amon-Ra St. Brown,DET,WR,24,9446
marvin-harrison-jr-1585,Marvin Harrison Jr.,ARI,WR,21,8956
breece-hall-1224,Breece Hall,NYJ,RB,23,8704
jahmyr-gibbs-1415,Jahmyr Gibbs,DET,RB,22,8383
puka-nacua-1426,Puka Nacua,LAR,WR,23,8085
garrett-wilson-1270,Garrett Wilson,NYJ,WR,24,8003
christian-mccaffrey-283,Christian McCaffrey,SFO,RB,28,7958
josh-allen-365,Josh Allen,BUF,QB,28,7828
aj-brown-217,A.J. Brown,PHI,WR,27,7784
sam-laporta-1429,Sam LaPorta,DET,TE,23,7739
patrick-mahomes-272,Patrick Mahomes,KCC,QB,28,7716
malik-nabers-1586,Malik Nabers,NYG,WR,20,7700
2024-early-1st-1293,2024 Early 1st,FA,PICK,,7343
chris-olave-1271,Chris Olave,NOS,WR,24,7176
jaylen-waddle-1007,Jaylen Waddle,MIA,WR,25,7069
jonathan-taylor-634,Jonathan Taylor,IND,RB,25,7041
tyreek-hill-286,Tyreek Hill,MIA,WR,30,7023
drake-london-1268,Drake London,ATL,WR,22,6985
cj-stroud-1403,C.J. Stroud,HOU,QB,22,6958
rome-odunze-1587,Rome Odunze,CHI,WR,22,6856
brandon-aiyuk-538,Brandon Aiyuk,SFO,WR,26,6802
2025-early-1st-1361,2025 Early 1st,FA,PICK,,6788
jalen-hurts-595,Jalen Hurts,PHI,QB,25,6773
lamar-jackson-372,Lamar Jackson,BAL,QB,27,6762
nico-collins-1040,Nico Collins,HOU,WR,25,6740
devonta-smith-1005,DeVonta Smith,PHI,WR,25,6649
trey-mcbride-1253,Trey McBride,ARI,TE,24,6574
de-von-achane-1398,De'Von Achane,MIA,RB,22,6514
travis-etienne-1030,Travis Etienne,JAC,RB,25,6477
anthony-richardson-1405,Anthony Richardson,IND,QB,22,6424
dalton-kincaid-1428,Dalton Kincaid,BUF,TE,24,6409
dk-metcalf-224,DK Metcalf,SEA,WR,26,6306
2024-mid-1st-1294,2024 Mid 1st,FA,PICK,,6275
brock-bowers-1612,Brock Bowers,LVR,TE,21,6272
joe-burrow-601,Joe Burrow,CIN,QB,27,6242
kyren-williams-1226,Kyren Williams,LAR,RB,23,6192
michael-pittman-536,Michael Pittman,IND,WR,26,6181
dj-moore-304,D.J. Moore,CHI,WR,27,6175
tank-dell-1438,Tank Dell,HOU,WR,24,6168
saquon-barkley-1,Saquon Barkley,PHI,RB,27,6159
kyle-pitts-1051,Kyle Pitts,ATL,TE,23,6153
zay-flowers-1443,Zay Flowers,BAL,WR,23,6113
jonathon-brooks-1568,Jonathon Brooks,CAR,RB,21,6091
george-pickens-1279,George Pickens,PIT,WR,23,6069
caleb-williams-1550,Caleb Williams,CHI,QB,22,6021
tee-higgins-543,Tee Higgins,CIN,WR,25,6004
jordan-addison-1420,Jordan Addison,MIN,WR,22,5976
kenneth-walker-iii-1227,Kenneth Walker III,SEA,RB,23,5973
2026-early-1st-1527,2026 Early 1st,FA,PICK,,5942
jaxon-smith-njigba-1437,Jaxon Smith-Njigba,SEA,WR,22,5934
justin-herbert-599,Justin Herbert,LAC,QB,26,5892
2025-mid-1st-1362,2025 Mid 1st,FA,PICK,,5820
jordan-love-596,Jordan Love,GBP,QB,25,5791
isiah-pacheco-1266,Isiah Pacheco,KCC,RB,25,5788
mark-andrews-366,Mark Andrews,BAL,TE,28,5767
brian-thomas-jr-1589,Brian Thomas Jr.,JAC,WR,21,5639
xavier-worthy-1591,Xavier Worthy,KCC,WR,21,5576
ladd-mcconkey-1598,Ladd McConkey,LAC,WR,22,5569
james-cook-1231,James Cook,BUF,RB,24,5568
rachaad-white-1180,Rachaad White,TBB,RB,25,5557
kyler-murray-379,Kyler Murray,ARI,QB,26,5517
2024-late-1st-1295,2024 Late 1st,FA,PICK,,5507
jayden-reed-1419,Jayden Reed,GBP,WR,24,5479
deebo-samuel-383,Deebo Samuel,SFO,WR,28,5419
