Player,Team,Position,Age,KTC Trade Value,KTC_normalized
Justin Jefferson,MIN,WR,25,9999,100
CeeDee Lamb,DAL,WR,25,9993,99
Ja'Marr Chase,CIN,WR,24,9978,99
Bijan Robinson,ATL,RB,22,9604,96
Amon-Ra St. Brown,DET,WR,24,9455,94
Marvin Harrison Jr.,ARI,WR,22,8960,89
Breece Hall,NYJ,RB,23,8935,89
Jahmyr Gibbs,DET,RB,22,8363,83
Christian McCaffrey,SFO,RB,28,8043,80
Puka Nacua,LAR,WR,23,7976,79
Garrett Wilson,NYJ,WR,24,7975,79
A.J. Brown,PHI,WR,27,7775,77
Malik Nabers,NYG,WR,21,7740,77
Patrick Mahomes,KCC,QB,28,7724,77
Josh Allen,BUF,QB,28,7722,77
Sam LaPorta,DET,TE,23,7613,75
2024 Early 1st,FA,PICK,,7227,72
Jonathan Taylor,IND,RB,25,7052,70
Tyreek Hill,MIA,WR,30,7049,70
Chris Olave,NOS,WR,24,7030,70
Jaylen Waddle,MIA,WR,25,6972,69
Drake London,ATL,WR,23,6949,69
C.J. Stroud,HOU,QB,22,6839,68
Lamar Jackson,BAL,QB,27,6829,68
Rome Odunze,CHI,WR,22,6786,67
DeVonta Smith,PHI,WR,25,6785,67
2025 Early 1st,FA,PICK,,6737,67
Jalen Hurts,PHI,QB,26,6697,66
Brandon Aiyuk,SFO,WR,26,6690,66
Nico Collins,HOU,WR,25,6687,66
De'Von Achane,MIA,RB,22,6615,65
Travis Etienne,JAC,RB,25,6603,65
Anthony Richardson,IND,QB,22,6598,65
Trey McBride,ARI,TE,24,6380,63
D.J. Moore,CHI,WR,27,6368,63
DK Metcalf,SEA,WR,26,6283,62
Dalton Kincaid,BUF,TE,24,6270,62
Michael Pittman,IND,WR,26,6264,62
Saquon Barkley,PHI,RB,27,6170,61
Kyren Williams,LAR,RB,23,6161,61
Tank Dell,HOU,WR,24,6161,61
Brock Bowers,LVR,TE,21,6157,61
2024 Mid 1st,FA,PICK,,6133,60
Joe Burrow,CIN,QB,27,6117,60
George Pickens,PIT,WR,23,6089,60
Caleb Williams,CHI,QB,22,6077,60
Tee Higgins,CIN,WR,25,6064,60
2026 Early 1st,FA,PICK,,6036,60
Kyle Pitts,ATL,TE,23,6031,59
Zay Flowers,BAL,WR,23,6012,59
Jonathon Brooks,CAR,RB,21,5996,59
2025 Mid 1st,FA,PICK,,5878,58
Isiah Pacheco,KCC,RB,25,5846,58
Kenneth Walker III,SEA,RB,23,5829,57
Jaxon Smith-Njigba,SEA,WR,22,5822,57
Jordan Love,GBP,QB,25,5811,57
Mark Andrews,BAL,TE,28,5805,57
James Cook,BUF,RB,24,5663,56
Justin Herbert,LAC,QB,26,5653,56
Kyler Murray,ARI,QB,27,5646,56
Deebo Samuel,SFO,WR,28,5604,55
Xavier Worthy,KCC,WR,21,5528,54
Ladd McConkey,LAC,WR,22,5518,54
