Player,Team,Position,Age,KTC Trade Value,KTC_normalized
Ja'Marr Chase,CIN,WR,24,9999,100
CeeDee Lamb,DAL,WR,25,9994,99
Justin Jefferson,MIN,WR,25,9982,99
Bijan Robinson,ATL,RB,22,9507,95
Amon-Ra St. Brown,DET,WR,24,9411,94
Marvin Harrison Jr.,ARI,WR,21,8929,89
Breece Hall,NYJ,RB,23,8816,88
Jahmyr Gibbs,DET,RB,22,8374,83
Puka Nacua,LAR,WR,23,8057,80
Christian McCaffrey,SFO,RB,28,8014,80
Garrett Wilson,NYJ,WR,24,7888,78
Josh Allen,BUF,QB,28,7827,78
A.J. Brown,PHI,WR,27,7805,78
Sam LaPorta,DET,TE,23,7804,77
Patrick Mahomes,KCC,QB,28,7734,77
Malik Nabers,NYG,WR,20,7596,75
2024 Early 1st,FA,PICK,,7241,72
Tyreek Hill,MIA,WR,30,7193,71
Jaylen Waddle,MIA,WR,25,7122,71
Chris Olave,NOS,WR,24,7086,70
Drake London,ATL,WR,23,7004,69
Jonathan Taylor,IND,RB,25,6986,69
C.J. Stroud,HOU,QB,22,6952,69
Rome Odunze,CHI,WR,22,6808,68
2025 Early 1st,FA,PICK,,6764,67
Nico Collins,HOU,WR,25,6736,67
Jalen Hurts,PHI,QB,25,6716,67
Brandon Aiyuk,SFO,WR,26,6705,66
DeVonta Smith,PHI,WR,25,6687,66
Lamar Jackson,BAL,QB,27,6670,66
De'Von Achane,MIA,RB,22,6536,65
Travis Etienne,JAC,RB,25,6529,65
Anthony Richardson,IND,QB,22,6483,64
DK Metcalf,SEA,WR,26,6437,64
Trey McBride,ARI,TE,24,6411,64
Dalton Kincaid,BUF,TE,24,6324,63
Brock Bowers,LVR,TE,21,6265,62
2024 Mid 1st,FA,PICK,,6258,62
Joe Burrow,CIN,QB,27,6215,62
Michael Pittman,IND,WR,26,6214,62
D.J. Moore,CHI,WR,27,6144,61
Kyren Williams,LAR,RB,23,6144,61
Saquon Barkley,PHI,RB,27,6143,61
Zay Flowers,BAL,WR,23,6128,61
Tank Dell,HOU,WR,24,6124,61
Tee Higgins,CIN,WR,25,6109,60
Jonathon Brooks,CAR,RB,21,6083,60
George Pickens,PIT,WR,23,6065,60
Kyle Pitts,ATL,TE,23,6054,60
Jaxon Smith-Njigba,SEA,WR,22,5986,59
