Player,Team,Position,Age,KTC Trade Value,KTC_normalized
Justin Jefferson,MIN,WR,25,9993,100
CeeDee Lamb,DAL,WR,25,9992,99
Ja'Marr Chase,CIN,WR,24,9981,99
Bijan Robinson,ATL,RB,22,9619,96
Amon-Ra St. Brown,DET,WR,24,9446,94
Marvin Harrison Jr.,ARI,WR,22,8982,89
Breece Hall,NYJ,RB,23,8877,88
Jahmyr Gibbs,DET,RB,22,8400,83
Christian McCaffrey,SFO,RB,28,8089,80
Garrett Wilson,NYJ,WR,24,8024,80
Puka Nacua,LAR,WR,23,7961,79
Malik Nabers,NYG,WR,21,7766,77
A.J. Brown,PHI,WR,27,7746,77
Patrick Mahomes,KCC,QB,28,7721,77
Josh Allen,BUF,QB,28,7695,76
Sam LaPorta,DET,TE,23,7537,75
2024 Early 1st,FA,PICK,,7227,72
Jonathan Taylor,IND,RB,25,7083,70
Chris Olave,NOS,WR,24,7041,70
Tyreek Hill,MIA,WR,30,7029,70
Drake London,ATL,WR,23,6984,69
Jaylen Waddle,MIA,WR,25,6939,69
C.J. Stroud,HOU,QB,22,6844,68
Lamar Jackson,BAL,QB,27,6843,68
Rome Odunze,CHI,WR,22,6821,67
DeVonta Smith,PHI,WR,25,6802,67
2025 Early 1st,FA,PICK,,6736,67
De'Von Achane,MIA,RB,22,6688,66
Jalen Hurts,PHI,QB,26,6686,66
Nico Collins,HOU,WR,25,6678,66
Brandon Aiyuk,SFO,WR,26,6674,66
Anthony Richardson,IND,QB,22,6607,65
Travis Etienne,JAC,RB,25,6553,65
D.J. Moore,CHI,WR,27,6338,63
Trey McBride,ARI,TE,24,6321,62
Dalton Kincaid,BUF,TE,24,6318,62
DK Metcalf,SEA,WR,26,6284,62
Michael Pittman,IND,WR,26,6236,62
Brock Bowers,LVR,TE,21,6195,61
George Pickens,PIT,WR,23,6170,61
Saquon Barkley,PHI,RB,27,6146,61
Kyren Williams,LAR,RB,23,6140,61
Joe Burrow,CIN,QB,27,6138,61
2024 Mid 1st,FA,PICK,,6119,60
Tank Dell,HOU,WR,24,6118,60
Caleb Williams,CHI,QB,22,6076,60
Kyle Pitts,ATL,TE,23,6072,60
2026 Early 1st,FA,PICK,,6048,60
Tee Higgins,CIN,WR,25,6034,60
Zay Flowers,BAL,WR,23,5966,59
Jonathon Brooks,CAR,RB,21,5962,59
2025 Mid 1st,FA,PICK,,5884,58
Isiah Pacheco,KCC,RB,25,5851,58
Kenneth Walker III,SEA,RB,23,5843,58
Mark Andrews,BAL,TE,28,5837,58
Jaxon Smith-Njigba,SEA,WR,22,5826,57
Jordan Love,GBP,QB,25,5823,57
Kyler Murray,ARI,QB,27,5642,56
James Cook,BUF,RB,24,5641,56
Justin Herbert,LAC,QB,26,5622,55
Deebo Samuel,SFO,WR,28,5611,55
Brian Thomas Jr.,JAC,WR,21,5536,54
Ladd McConkey,LAC,WR,22,5517,54
Xavier Worthy,KCC,WR,21,5487,54
2024 Late 1st,FA,PICK,,5435,53
Jordan Addison,MIN,WR,22,5427,53
Jayden Reed,GBP,WR,24,5411,53
Jayden Daniels,WAS,QB,23,5364,53
Rachaad White,TBB,RB,25,5327,52
T.J. Hockenson,MIN,TE,27,5300,52
2025 Late 1st,FA,PICK,,5267,52
Rashee Rice,KCC,WR,24,5240,51
2026 Mid 1st,FA,PICK,,5226,51
Keon Coleman,BUF,WR,21,5188,51
Trey Benson,ARI,RB,22,5171,51
Mike Evans,TBB,WR,31,5142,51
Travis Kelce,KCC,TE,34,5132,50
Davante Adams,LVR,WR,31,5127,50
Josh Jacobs,GBP,RB,26,5078,50
Cooper Kupp,LAR,WR,31,4746,47
2026 Late 1st,FA,PICK,,4718,46
Christian Kirk,JAC,WR,27,4702,46
Derrick Henry,BAL,RB,30,4684,46
Terry McLaurin,WAS,WR,28,4650,46
Amari Cooper,CLE,WR,30,4605,45
Trevor Lawrence,JAC,QB,24,4590,45
Rhamondre Stevenson,NEP,RB,26,4579,45
Christian Watson,GBP,WR,25,4540,44
Chris Godwin,TBB,WR,28,4516,44
George Kittle,SFO,TE,30,4501,44
D'Andre Swift,CHI,RB,25,4493,44
Brock Purdy,SFO,QB,24,4449,44
Stefon Diggs,HOU,WR,30,4440,43
Tyjae Spears,TEN,RB,23,4431,43
Ricky Pearsall,SFO,WR,23,4428,43
2024 Early 2nd,FA,PICK,,4416,43
Diontae Johnson,CAR,WR,28,4395,43
Xavier Legette,CAR,WR,23,4392,43
Tua Tagovailoa,MIA,QB,26,4356,43
Zamir White,LVR,RB,24,4350,43
Dak Prescott,DAL,QB,31,4349,43
Joe Mixon,HOU,RB,28,4334,42
David Montgomery,DET,RB,27,4299,42
Marquise Brown,KCC,WR,27,4290,42
Adonai Mitchell,IND,WR,21,4258,42
Jaylen Warren,PIT,RB,25,4202,41
Blake Corum,LAR,RB,23,4195,41
2025 Early 2nd,FA,PICK,,4158,41
Jake Ferguson,DAL,TE,25,4150,40
Jameson Williams,DET,WR,23,4120,40
Brian Robinson,WAS,RB,25,4107,40
Evan Engram,JAC,TE,29,4103,40
Najee Harris,PIT,RB,26,4098,40
Alvin Kamara,NOS,RB,29,4055,40
Calvin Ridley,TEN,WR,29,4009,39
Ja'Lynn Polk,NEP,WR,22,3969,39
David Njoku,CLE,TE,28,3909,38
Javonte Williams,DEN,RB,24,3909,38
2024 Mid 2nd,FA,PICK,,3885,38
Jared Goff,DET,QB,29,3863,38
Drake Maye,NEP,QB,21,3827,37
Keenan Allen,CHI,WR,32,3827,37
Romeo Doubs,GBP,WR,24,3824,37
Chase Brown,CIN,RB,24,3821,37
MarShawn Lloyd,GBP,RB,23,3782,37
Tony Pollard,TEN,RB,27,3767,37
Dontayvion Wicks,GBP,WR,23,3756,37
