Player,Team,Position,Age,KTC Trade Value,KTC_normalized
Justin Jefferson,MIN,WR,25,9999,100
CeeDee Lamb,DAL,WR,25,9997,99
Ja'Marr Chase,CIN,WR,24,9974,99
Bijan Robinson,ATL,RB,22,9505,95
Amon-Ra St. Brown,DET,WR,24,9355,93
Marvin Harrison Jr.,ARI,WR,21,8913,89
Breece Hall,NYJ,RB,23,8875,88
Jahmyr Gibbs,DET,RB,22,8369,83
Puka Nacua,LAR,WR,23,8127,81
Christian McCaffrey,SFO,RB,28,7959,79
Garrett Wilson,NYJ,WR,24,7884,78
Josh Allen,BUF,QB,28,7862,78
Sam LaPorta,DET,TE,23,7801,77
A.J. Brown,PHI,WR,27,7774,77
Patrick Mahomes,KCC,QB,28,7721,77
Malik Nabers,NYG,WR,20,7641,76
2024 Early 1st,FA,PICK,,7281,72
Tyreek Hill,MIA,WR,30,7175,71
Chris Olave,NOS,WR,24,7113,71
Jaylen Waddle,MIA,WR,25,7112,71
Drake London,ATL,WR,23,7001,69
Jonathan Taylor,IND,RB,25,6981,69
C.J. Stroud,HOU,QB,22,6943,69
Rome Odunze,CHI,WR,22,6790,67
Nico Collins,HOU,WR,25,6741,67
2025 Early 1st,FA,PICK,,6737,67
Brandon Aiyuk,SFO,WR,26,6732,67
Jalen Hurts,PHI,QB,25,6711,67
DeVonta Smith,PHI,WR,25,6693,66
Lamar Jackson,BAL,QB,27,6688,66
De'Von Achane,MIA,RB,22,6555,65
Travis Etienne,JAC,RB,25,6487,64
Anthony Richardson,IND,QB,22,6477,64
DK Metcalf,SEA,WR,26,6437,64
Trey McBride,ARI,TE,24,6431,64
Dalton Kincaid,BUF,TE,24,6343,63
Brock Bowers,LVR,TE,21,6267,62
2024 Mid 1st,FA,PICK,,6256,62
Michael Pittman,IND,WR,26,6238,62
Kyren Williams,LAR,RB,23,6185,61
D.J. Moore,CHI,WR,27,6168,61
Joe Burrow,CIN,QB,27,6159,61
Tee Higgins,CIN,WR,25,6152,61
Saquon Barkley,PHI,RB,27,6150,61
Tank Dell,HOU,WR,24,6118,61
George Pickens,PIT,WR,23,6068,60
Jonathon Brooks,CAR,RB,21,6068,60
Zay Flowers,BAL,WR,23,6059,60
Kyle Pitts,ATL,TE,23,6047,60
Caleb Williams,CHI,QB,22,5964,59
2026 Early 1st,FA,PICK,,5964,59
Jaxon Smith-Njigba,SEA,WR,22,5958,59
Jordan Addison,MIN,WR,22,5911,59
Kenneth Walker III,SEA,RB,23,5878,58
2025 Mid 1st,FA,PICK,,5853,58
Mark Andrews,BAL,TE,28,5822,58
Justin Herbert,LAC,QB,26,5802,57
Jordan Love,GBP,QB,25,5796,57
Isiah Pacheco,KCC,RB,25,5771,57
James Cook,BUF,RB,24,5647,56
Brian Thomas Jr.,JAC,WR,21,5620,56
Xavier Worthy,KCC,WR,21,5611,56
Ladd McConkey,LAC,WR,22,5608,55
Kyler Murray,ARI,QB,26,5552,55
2024 Late 1st,FA,PICK,,5493,54
Rachaad White,TBB,RB,25,5486,54
Deebo Samuel,SFO,WR,28,5457,54
Jayden Daniels,WAS,QB,23,5429,54
Jayden Reed,GBP,WR,24,5386,53
T.J. Hockenson,MIN,TE,27,5378,53
2025 Late 1st,FA,PICK,,5359,53
2026 Mid 1st,FA,PICK,,5244,52
Trey Benson,ARI,RB,22,5197,51
Josh Jacobs,GBP,RB,26,5131,51
Rashee Rice,KCC,WR,24,5116,51
Keon Coleman,BUF,WR,21,5100,50
Mike Evans,TBB,WR,30,5050,50
Davante Adams,LVR,WR,31,5008,49
Travis Kelce,KCC,TE,34,4894,48
Rhamondre Stevenson,NEP,RB,26,4842,48
Trevor Lawrence,JAC,QB,24,4798,47
Cooper Kupp,LAR,WR,31,4763,47
Christian Kirk,JAC,WR,27,4762,47
2026 Late 1st,FA,PICK,,4737,47
Ricky Pearsall,SFO,WR,23,4704,46
Derrick Henry,BAL,RB,30,4624,46
Amari Cooper,CLE,WR,30,4590,45
Terry McLaurin,WAS,WR,28,4576,45
Christian Watson,GBP,WR,25,4568,45
Brock Purdy,SFO,QB,24,4500,44
D'Andre Swift,CHI,RB,25,4494,44
Zamir White,LVR,RB,24,4474,44
2024 Early 2nd,FA,PICK,,4435,44
David Montgomery,DET,RB,27,4400,43
Stefon Diggs,HOU,WR,30,4391,43
Adonai Mitchell,IND,WR,21,4375,43
Joe Mixon,HOU,RB,28,4348,43
Tua Tagovailoa,MIA,QB,26,4334,43
Chris Godwin,TBB,WR,28,4334,43
Dak Prescott,DAL,QB,30,4328,43
Xavier Legette,CAR,WR,23,4324,43
Evan Engram,JAC,TE,29,4289,42
Tyjae Spears,TEN,RB,23,4272,42
Diontae Johnson,CAR,WR,28,4272,42
George Kittle,SFO,TE,30,4267,42
Jake Ferguson,DAL,TE,25,4263,42
Marquise Brown,KCC,WR,27,4262,42
Najee Harris,PIT,RB,26,4231,42
Jaylen Warren,PIT,RB,25,4208,41
Blake Corum,LAR,RB,23,4122,41
Calvin Ridley,TEN,WR,29,4089,40
Brian Robinson,WAS,RB,25,4082,40
2025 Early 2nd,FA,PICK,,4074,40
Kendre Miller,NOS,RB,22,4051,40
Alvin Kamara,NOS,RB,29,4021,40
Jameson Williams,DET,WR,23,4017,40
2024 Mid 2nd,FA,PICK,,3984,39
David Njoku,CLE,TE,28,3965,39
Zach Charbonnet,SEA,RB,23,3960,39
Ja'Lynn Polk,NEP,WR,22,3889,38
Jared Goff,DET,QB,29,3855,38
MarShawn Lloyd,GBP,RB,23,3854,38
Javonte Williams,DEN,RB,24,3848,38
Dontayvion Wicks,GBP,WR,23,3790,37
Drake Maye,NEP,QB,21,3782,37
Romeo Doubs,GBP,WR,24,3773,37
Josh Downs,IND,WR,22,3754,37
Tony Pollard,TEN,RB,27,3729,37
Jaylen Wright,MIA,RB,21,3682,36
Keenan Allen,CHI,WR,32,3646,36
2025 Mid 2nd,FA,PICK,,3633,36
Zack Moss,CIN,RB,26,3626,36
Troy Franklin,DEN,WR,21,3610,35
Roman Wilson,PIT,WR,23,3600,35
2024 Late 2nd,FA,PICK,,3595,35
J.J. McCarthy,MIN,QB,21,3588,35
Aaron Jones,MIN,RB,29,3586,35
Pat Freiermuth,PIT,TE,25,3579,35
Jermaine Burton,CIN,WR,23,3561,35
Jahan Dotson,WAS,WR,24,3540,35
Bryce Young,CAR,QB,23,3507,34
Chase Brown,CIN,RB,24,3504,34
Khalil Shakir,BUF,WR,24,3458,34
2026 Early 2nd,FA,PICK,,3457,34
Jerome Ford,CLE,RB,24,3454,34
Ben Sinnott,WAS,TE,22,3440,34
Nick Chubb,CLE,RB,28,3405,33
Devin Singletary,NYG,RB,26,3373,33
James Conner,ARI,RB,29,3347,33
Jerry Jeudy,CLE,WR,25,3346,33
Luke Musgrave,GBP,TE,23,3306,32
Courtland Sutton,DEN,WR,28,3287,32
Rashid Shaheed,NOS,WR,25,3284,32
2026 Mid 2nd,FA,PICK,,3283,32
Cole Kmet,CHI,TE,25,3275,32
Isaiah Likely,BAL,TE,24,3275,32
2025 Late 2nd,FA,PICK,,3275,32
Demario Douglas,NEP,WR,23,3269,32
Jakobi Meyers,LVR,WR,27,3208,31
Dallas Goedert,PHI,TE,29,3185,31
Dalton Schultz,HOU,TE,28,3166,31
Josh Palmer,LAC,WR,24,3110,30
DeAndre Hopkins,TEN,WR,32,3098,30
Raheem Mostert,MIA,RB,32,3095,30
Quentin Johnston,LAC,WR,22,3076,30
Jaleel McLaughlin,DEN,RB,23,3071,30
Javon Baker,NEP,WR,22,3017,29
Will Levis,TEN,QB,25,3013,29
Michael Wilson,ARI,WR,24,2958,29
Malachi Corley,NYJ,WR,22,2924,29
Michael Penix Jr.,ATL,QB,24,2914,28
Curtis Samuel,BUF,WR,27,2900,28
Keaton Mitchell,BAL,RB,22,2898,28
Kirk Cousins,ATL,QB,35,2895,28
