Player,Team,Position,Age,KTC Trade Value,KTC_normalized
Justin Jefferson,MIN,WR,25,9998,100
Ja'Marr Chase,CIN,WR,24,9998,100
CeeDee Lamb,DAL,WR,25,9989,99
Amon-Ra St. Brown,DET,WR,24,9415,94
Bijan Robinson,ATL,RB,22,9401,93
Marvin Harrison Jr.,ARI,WR,21,9033,90
Breece Hall,NYJ,RB,23,8864,88
Jahmyr Gibbs,DET,RB,22,8478,84
Christian McCaffrey,SFO,RB,28,8045,80
Garrett Wilson,NYJ,WR,24,7983,79
Puka Nacua,LAR,WR,23,7975,79
Josh Allen,BUF,QB,28,7762,77
A.J. Brown,PHI,WR,27,7742,77
Sam LaPorta,DET,TE,23,7719,77
Patrick Mahomes,KCC,QB,28,7689,76
Malik Nabers,NYG,WR,20,7624,76
2024 Early 1st,FA,PICK,,7304,72
Chris Olave,NOS,WR,24,7124,71
Jaylen Waddle,MIA,WR,25,7107,70
Tyreek Hill,MIA,WR,30,7065,70
Drake London,ATL,WR,23,7030,70
C.J. Stroud,HOU,QB,22,6926,69
Jonathan Taylor,IND,RB,25,6924,69
Rome Odunze,CHI,WR,22,6813,67
Lamar Jackson,BAL,QB,27,6762,67
Jalen Hurts,PHI,QB,25,6738,67
2025 Early 1st,FA,PICK,,6726,67
Brandon Aiyuk,SFO,WR,26,6708,66
DeVonta Smith,PHI,WR,25,6695,66
De'Von Achane,MIA,RB,22,6686,66
Nico Collins,HOU,WR,25,6656,66
Trey McBride,ARI,TE,24,6506,64
Travis Etienne,JAC,RB,25,6505,64
Anthony Richardson,IND,QB,22,6503,64
Dalton Kincaid,BUF,TE,24,6411,63
Brock Bowers,LVR,TE,21,6289,62
Kyren Williams,LAR,RB,23,6244,62
Saquon Barkley,PHI,RB,27,6230,62
DK Metcalf,SEA,WR,26,6173,61
Kyle Pitts,ATL,TE,23,6172,61
Michael Pittman,IND,WR,26,6168,61
2024 Mid 1st,FA,PICK,,6165,61
Tank Dell,HOU,WR,24,6144,61
Zay Flowers,BAL,WR,23,6142,61
D.J. Moore,CHI,WR,27,6129,61
Joe Burrow,CIN,QB,27,6127,60
Jonathon Brooks,CAR,RB,21,6087,60
Tee Higgins,CIN,WR,25,6086,60
George Pickens,PIT,WR,23,6054,60
2026 Early 1st,FA,PICK,,6040,60
Kenneth Walker III,SEA,RB,23,6002,59
Jaxon Smith-Njigba,SEA,WR,22,5989,59
Caleb Williams,CHI,QB,22,5953,59
Isiah Pacheco,KCC,RB,25,5863,58
2025 Mid 1st,FA,PICK,,5821,57
Jordan Love,GBP,QB,25,5812,57
James Cook,BUF,RB,24,5806,57
Justin Herbert,LAC,QB,26,5758,57
Mark Andrews,BAL,TE,28,5748,57
Brian Thomas Jr.,JAC,WR,21,5629,55
Xavier Worthy,KCC,WR,21,5599,55
Kyler Murray,ARI,QB,26,5558,55
Jordan Addison,MIN,WR,22,5492,54
2024 Late 1st,FA,PICK,,5483,54
Deebo Samuel,SFO,WR,28,5472,54
Ladd McConkey,LAC,WR,22,5470,54
Rachaad White,TBB,RB,25,5422,53
Jayden Daniels,WAS,QB,23,5412,53
T.J. Hockenson,MIN,TE,27,5386,53
Jayden Reed,GBP,WR,24,5346,53
2025 Late 1st,FA,PICK,,5316,52
2026 Mid 1st,FA,PICK,,5303,52
Josh Jacobs,GBP,RB,26,5254,52
Trey Benson,ARI,RB,22,5165,51
Rashee Rice,KCC,WR,24,5113,50
Keon Coleman,BUF,WR,21,5101,50
Davante Adams,LVR,WR,31,5071,50
Mike Evans,TBB,WR,30,5060,50
Travis Kelce,KCC,TE,34,4959,49
Rhamondre Stevenson,NEP,RB,26,4756,47
Trevor Lawrence,JAC,QB,24,4753,47
2026 Late 1st,FA,PICK,,4712,46
Christian Kirk,JAC,WR,27,4705,46
Cooper Kupp,LAR,WR,31,4679,46
Ricky Pearsall,SFO,WR,23,4665,46
D'Andre Swift,CHI,RB,25,4645,46
Derrick Henry,BAL,RB,30,4643,46
Terry McLaurin,WAS,WR,28,4586,45
Christian Watson,GBP,WR,25,4535,44
Brock Purdy,SFO,QB,24,4526,44
Zamir White,LVR,RB,24,4514,44
Amari Cooper,CLE,WR,30,4504,44
George Kittle,SFO,TE,30,4429,43
Joe Mixon,HOU,RB,28,4427,43
Chris Godwin,TBB,WR,28,4419,43
2024 Early 2nd,FA,PICK,,4400,43
Dak Prescott,DAL,QB,30,4389,43
Tyjae Spears,TEN,RB,23,4386,43
Tua Tagovailoa,MIA,QB,26,4295,42
Stefon Diggs,HOU,WR,30,4289,42
David Montgomery,DET,RB,27,4288,42
