Player,Team,Position,Age,KTC Trade Value,KTC_normalized
Justin Jefferson,MIN,WR,25,9993,100
Ja'Marr Chase,CIN,WR,24,9989,99
CeeDee Lamb,DAL,WR,25,9986,99
Bijan Robinson,ATL,RB,22,9646,96
Amon-Ra St. Brown,DET,WR,24,9421,94
Marvin Harrison Jr.,ARI,WR,22,9004,90
Breece Hall,NYJ,RB,23,8830,88
Jahmyr Gibbs,DET,RB,22,8309,82
Christian McCaffrey,SFO,RB,28,8093,80
Garrett Wilson,NYJ,WR,24,7984,79
Puka Nacua,LAR,WR,23,7940,79
Malik Nabers,NYG,WR,21,7762,77
A.J. Brown,PHI,WR,27,7733,77
Josh Allen,BUF,QB,28,7682,76
Patrick Mahomes,KCC,QB,28,7654,76
Sam LaPorta,DET,TE,23,7554,75
2024 Early 1st,FA,PICK,,7259,72
Tyreek Hill,MIA,WR,30,7227,72
Jaylen Waddle,MIA,WR,25,7060,70
Jonathan Taylor,IND,RB,25,7060,70
Chris Olave,NOS,WR,24,6982,69
Drake London,ATL,WR,23,6931,69
Lamar Jackson,BAL,QB,27,6909,68
C.J. Stroud,HOU,QB,22,6860,68
2025 Early 1st,FA,PICK,,6731,67
Jalen Hurts,PHI,QB,26,6723,66
Rome Odunze,CHI,WR,22,6714,66
Brandon Aiyuk,SFO,WR,26,6699,66
DeVonta Smith,PHI,WR,25,6697,66
De'Von Achane,MIA,RB,22,6697,66
Nico Collins,HOU,WR,25,6684,66
Anthony Richardson,IND,QB,22,6609,65
Travis Etienne,JAC,RB,25,6505,64
Trey McBride,ARI,TE,24,6470,64
D.J. Moore,CHI,WR,27,6366,63
DK Metcalf,SEA,WR,26,6312,62
Dalton Kincaid,BUF,TE,24,6271,62
Michael Pittman,IND,WR,26,6236,62
Kyren Williams,LAR,RB,23,6209,61
Brock Bowers,LVR,TE,21,6156,61
2024 Mid 1st,FA,PICK,,6153,61
Joe Burrow,CIN,QB,27,6140,61
George Pickens,PIT,WR,23,6133,61
Saquon Barkley,PHI,RB,27,6123,60
Kyle Pitts,ATL,TE,23,6104,60
Tank Dell,HOU,WR,24,6086,60
Zay Flowers,BAL,WR,23,6037,60
2026 Early 1st,FA,PICK,,6025,59
Caleb Williams,CHI,QB,22,6016,59
Jonathon Brooks,CAR,RB,21,5944,59
Tee Higgins,CIN,WR,25,5925,58
Isiah Pacheco,KCC,RB,25,5873,58
2025 Mid 1st,FA,PICK,,5851,58
Mark Andrews,BAL,TE,28,5827,57
Kenneth Walker III,SEA,RB,23,5812,57
Jordan Love,GBP,QB,25,5804,57
Jaxon Smith-Njigba,SEA,WR,22,5797,57
Kyler Murray,ARI,QB,27,5632,55
James Cook,BUF,RB,24,5632,55
Deebo Samuel,SFO,WR,28,5589,55
Justin Herbert,LAC,QB,26,5580,55
Brian Thomas Jr.,JAC,WR,21,5513,54
2024 Late 1st,FA,PICK,,5504,54
Xavier Worthy,KCC,WR,21,5500,54
Ladd McConkey,LAC,WR,22,5498,54
Jordan Addison,MIN,WR,22,5415,53
Jayden Daniels,WAS,QB,23,5405,53
Jayden Reed,GBP,WR,24,5360,53
Rachaad White,TBB,RB,25,5340,53
T.J. Hockenson,MIN,TE,27,5331,52
2025 Late 1st,FA,PICK,,5296,52
Keon Coleman,BUF,WR,21,5244,52
Rashee Rice,KCC,WR,24,5240,51
2026 Mid 1st,FA,PICK,,5198,51
Mike Evans,TBB,WR,31,5169,51
Trey Benson,ARI,RB,22,5135,50
Travis Kelce,KCC,TE,34,5129,50
Josh Jacobs,GBP,RB,26,5124,50
Davante Adams,LVR,WR,31,5092,50
2026 Late 1st,FA,PICK,,4760,47
Cooper Kupp,LAR,WR,31,4738,46
Christian Kirk,JAC,WR,27,4690,46
Rhamondre Stevenson,NEP,RB,26,4679,46
Derrick Henry,BAL,RB,30,4675,46
Terry McLaurin,WAS,WR,28,4654,46
Trevor Lawrence,JAC,QB,24,4596,45
George Kittle,SFO,TE,30,4560,45
Christian Watson,GBP,WR,25,4554,45
Chris Godwin,TBB,WR,28,4526,44
Amari Cooper,CLE,WR,30,4514,44
D'Andre Swift,CHI,RB,25,4468,44
Tyjae Spears,TEN,RB,23,4468,44
Ricky Pearsall,SFO,WR,23,4438,43
Stefon Diggs,HOU,WR,30,4426,43
Brock Purdy,SFO,QB,24,4424,43
Diontae Johnson,CAR,WR,28,4401,43
2024 Early 2nd,FA,PICK,,4378,43
Tua Tagovailoa,MIA,QB,26,4364,43
Jaylen Warren,PIT,RB,25,4314,42
Xavier Legette,CAR,WR,23,4318,42
Zamir White,LVR,RB,24,4317,42
Dak Prescott,DAL,QB,31,4302,42
David Montgomery,DET,RB,27,4298,42
Adonai Mitchell,IND,WR,21,4226,41
Blake Corum,LAR,RB,23,4211,41
Jake Ferguson,DAL,TE,25,4207,41
Marquise Brown,KCC,WR,27,4188,41
2025 Early 2nd,FA,PICK,,4140,40
Jameson Williams,DET,WR,23,4132,40
Evan Engram,JAC,TE,29,4106,40
Alvin Kamara,NOS,RB,29,4072,40
Najee Harris,PIT,RB,26,4047,39
Calvin Ridley,TEN,WR,29,4040,39
Brian Robinson,WAS,RB,25,4002,39
Ja'Lynn Polk,NEP,WR,22,3973,39
David Njoku,CLE,TE,28,3948,38
Javonte Williams,DEN,RB,24,3946,38
Chase Brown,CIN,RB,24,3942,38
2024 Mid 2nd,FA,PICK,,3856,38
Keenan Allen,CHI,WR,32,3849,37
Jared Goff,DET,QB,29,3846,37
MarShawn Lloyd,GBP,RB,23,3816,37
Romeo Doubs,GBP,WR,24,3798,37
Zach Charbonnet,SEA,RB,23,3793,37
Drake Maye,NEP,QB,21,3778,37
Dontayvion Wicks,GBP,WR,23,3778,37
Tony Pollard,TEN,RB,27,3736,36
Josh Downs,IND,WR,23,3703,36
Jaylen Wright,MIA,RB,21,3644,35
Aaron Jones,MIN,RB,29,3635,35
James Conner,ARI,RB,29,3621,35
2025 Mid 2nd,FA,PICK,,3618,35
Pat Freiermuth,PIT,TE,25,3610,35
Nick Chubb,CLE,RB,28,3582,35
Jermaine Burton,CIN,WR,23,3566,35
J.J. McCarthy,MIN,QB,21,3518,34
2026 Early 2nd,FA,PICK,,3501,34
Jerome Ford,CLE,RB,24,3495,34
2024 Late 2nd,FA,PICK,,3483,34
Zack Moss,CIN,RB,26,3481,34
Khalil Shakir,BUF,WR,24,3479,34
Jahan Dotson,WAS,WR,24,3478,34
Roman Wilson,PIT,WR,23,3460,34
Devin Singletary,NYG,RB,26,3391,33
Bryce Young,CAR,QB,23,3369,33
Luke Musgrave,GBP,TE,23,3362,33
Jerry Jeudy,CLE,WR,25,3345,32
Troy Franklin,DEN,WR,21,3342,32
Ben Sinnott,WAS,TE,22,3336,32
Courtland Sutton,DEN,WR,28,3309,32
Kendre Miller,NOS,RB,22,3301,32
Josh Palmer,LAC,WR,24,3300,32
2026 Mid 2nd,FA,PICK,,3294,32
2025 Late 2nd,FA,PICK,,3291,32
Rashid Shaheed,NOS,WR,25,3273,32
Raheem Mostert,MIA,RB,32,3270,32
Cole Kmet,CHI,TE,25,3251,31
Isaiah Likely,BAL,TE,24,3238,31
Dallas Goedert,PHI,TE,29,3227,31
Dalton Schultz,HOU,TE,28,3202,31
Curtis Samuel,BUF,WR,28,3107,30
Jakobi Meyers,LVR,WR,27,3096,30
Will Levis,TEN,QB,25,3082,30
Michael Wilson,ARI,WR,24,3028,29
DeAndre Hopkins,TEN,WR,32,3010,29
Javon Baker,NEP,WR,22,3004,29
Jalen McMillan,TBB,WR,22,2995,29
Marvin Mims,DEN,WR,22,2990,29
Demario Douglas,NEP,WR,23,2985,29
Jaleel McLaughlin,DEN,RB,23,2985,29
Audric Estime,DEN,RB,20,2960,28
Kirk Cousins,ATL,QB,36,2908,28
2026 Late 2nd,FA,PICK,,2887,28
Keaton Mitchell,BAL,RB,22,2864,27
Michael Penix Jr.,ATL,QB,24,2861,27
Deshaun Watson,CLE,QB,28,2844,27
Kimani Vidal,LAC,RB,22,2837,27
Michael Mayer,LVR,TE,23,2809,27
Malachi Corley,NYJ,WR,22,2783,27
Bo Nix,DEN,QB,24,2762,26
Gus Edwards,LAC,RB,29,2753,26
Tyler Allgeier,ATL,RB,24,2748,26
Matthew Stafford,LAR,QB,36,2714,26
Gabriel Davis,JAC,WR,25,2713,26
Roschon Johnson,CHI,RB,23,2709,26
Baker Mayfield,TBB,QB,29,2707,26
Braelon Allen,NYJ,RB,20,2695,26
Luke McCaffrey,WAS,WR,23,2688,26
Bucky Irving,TBB,RB,22,2685,26
Rashod Bateman,BAL,WR,24,2656,25
Tyler Lockett,SEA,WR,31,2654,25
Austin Ekeler,WAS,RB,29,2646,25
Ray Davis,BUF,RB,24,2620,25
Justin Fields,PIT,QB,25,2619,25
Quentin Johnston,LAC,WR,22,2558,24
J.K. Dobbins,LAC,RB,25,2548,24
2024 Early 3rd,FA,PICK,,2545,24
Wan'Dale Robinson,NYG,WR,23,2475,24
Ja'Tavion Sanders,CAR,TE,21,2465,23
Rico Dowdle,DAL,RB,26,2462,23
2024 Mid 3rd,FA,PICK,,2433,23
Chuba Hubbard,CAR,RB,25,2414,23
Darnell Mooney,ATL,WR,26,2398,23
Jalin Hyatt,NYG,WR,22,2388,23
Ty Chandler,MIN,RB,26,2387,23
2025 Early 3rd,FA,PICK,,2387,23
Will Shipley,PHI,RB,21,2377,23
Tyrone Tracy,NYG,RB,24,2363,22
Tucker Kraft,GBP,TE,23,2353,22
Mike Williams,NYJ,WR,29,2346,22
Aaron Rodgers,NYJ,QB,40,2316,22
Greg Dulcich,DEN,TE,24,2269,21
Antonio Gibson,NEP,RB,26,2264,21
Chigoziem Okonkwo,TEN,TE,24,2258,21
Tank Bigsby,JAC,RB,22,2253,21
Dameon Pierce,HOU,RB,24,2244,21
Cade Otton,TBB,TE,25,2234,21
Khalil Herbert,CHI,RB,26,2228,21
2025 Mid 3rd,FA,PICK,,2222,21
2024 Late 3rd,FA,PICK,,2210,21
Ezekiel Elliott,DAL,RB,29,2177,21
2026 Early 3rd,FA,PICK,,2153,20
Theo Johnson,NYG,TE,23,2079,20
Noah Fant,SEA,TE,26,2068,19
Daniel Jones,NYG,QB,27,2041,19
Brandin Cooks,DAL,WR,30,2034,19
Jonathan Mingo,CAR,WR,23,2028,19
Malik Washington,MIA,WR,23,2028,19
Devontez Walker,BAL,WR,23,2007,19
Trey Palmer,TBB,WR,23,2003,19
Elijah Mitchell,SFO,RB,26,1996,19
Rondale Moore,ATL,WR,24,1989,19
Geno Smith,SEA,QB,33,1967,18
Dylan Laube,LVR,RB,24,1962,18
Elijah Moore,CLE,WR,24,1960,18
2025 Late 3rd,FA,PICK,,1934,18
2026 Mid 3rd,FA,PICK,,1907,18
Greg Dortch,ARI,WR,26,1872,17
Dawson Knox,BUF,TE,27,1821,17
Brenden Rice,LAC,WR,22,1821,17
A.T. Perry,NOS,WR,24,1758,16
Isaac Guerendo,SFO,RB,24,1746,16
Hunter Henry,NEP,TE,29,1733,16
D.J. Chark,LAC,WR,27,1725,16
Rasheen Ali,BAL,RB,23,1721,16
Tyler Boyd,TEN,WR,29,1703,16
Andrei Iosivas,CIN,WR,24,1702,16
Daniel Bellinger,NYG,TE,23,1687,16
Alec Pierce,IND,WR,24,1683,16
