Player,Team,Position,Age,KTC Trade Value,KTC_normalized
Justin Jefferson,MIN,WR,25,9999,100
CeeDee Lamb,DAL,WR,25,9994,99
Ja'Marr Chase,CIN,WR,24,9990,99
Bijan Robinson,ATL,RB,22,9505,95
Amon-Ra St. Brown,DET,WR,24,9497,94
Marvin Harrison Jr.,ARI,WR,21,8913,89
Breece Hall,NYJ,RB,23,8807,87
Jahmyr Gibbs,DET,RB,22,8408,83
Christian McCaffrey,SFO,RB,28,8041,80
Puka Nacua,LAR,WR,23,8031,80
Garrett Wilson,NYJ,WR,24,7887,78
A.J. Brown,PHI,WR,27,7843,78
Josh Allen,BUF,QB,28,7827,78
Sam LaPorta,DET,TE,23,7803,77
Patrick Mahomes,KCC,QB,28,7692,76
Malik Nabers,NYG,WR,20,7691,76
2024 Early 1st,FA,PICK,,7248,72
Chris Olave,NOS,WR,24,7121,71
Jaylen Waddle,MIA,WR,25,7071,70
Tyreek Hill,MIA,WR,30,7061,70
Drake London,ATL,WR,23,7017,69
Jonathan Taylor,IND,RB,25,6986,69
C.J. Stroud,HOU,QB,22,6928,69
Brandon Aiyuk,SFO,WR,26,6759,67
2025 Early 1st,FA,PICK,,6738,67
Rome Odunze,CHI,WR,22,6719,66
Lamar Jackson,BAL,QB,27,6704,66
DeVonta Smith,PHI,WR,25,6700,66
Jalen Hurts,PHI,QB,25,6698,66
Nico Collins,HOU,WR,25,6688,66
De'Von Achane,MIA,RB,22,6560,65
Travis Etienne,JAC,RB,25,6495,64
Anthony Richardson,IND,QB,22,6482,64
Trey McBride,ARI,TE,24,6456,64
Dalton Kincaid,BUF,TE,24,6410,63
DK Metcalf,SEA,WR,26,6293,62
Brock Bowers,LVR,TE,21,6279,62
2024 Mid 1st,FA,PICK,,6252,62
Kyren Williams,LAR,RB,23,6241,62
Michael Pittman,IND,WR,26,6208,61
Tank Dell,HOU,WR,24,6202,61
Saquon Barkley,PHI,RB,27,6187,61
Joe Burrow,CIN,QB,27,6177,61
Jonathon Brooks,CAR,RB,21,6136,61
Zay Flowers,BAL,WR,23,6116,60
D.J. Moore,CHI,WR,27,6101,60
George Pickens,PIT,WR,23,6089,60
Tee Higgins,CIN,WR,25,6079,60
Kyle Pitts,ATL,TE,23,6037,60
Jaxon Smith-Njigba,SEA,WR,22,6032,60
2026 Early 1st,FA,PICK,,5975,59
Caleb Williams,CHI,QB,22,5946,59
Kenneth Walker III,SEA,RB,23,5939,59
Isiah Pacheco,KCC,RB,25,5854,58
Jordan Love,GBP,QB,25,5830,58
2025 Mid 1st,FA,PICK,,5800,57
Mark Andrews,BAL,TE,28,5800,57
Justin Herbert,LAC,QB,26,5788,57
James Cook,BUF,RB,24,5679,56
Brian Thomas Jr.,JAC,WR,21,5673,56
Ladd McConkey,LAC,WR,22,5632,56
Xavier Worthy,KCC,WR,21,5600,55
Kyler Murray,ARI,QB,26,5548,55
Jordan Addison,MIN,WR,22,5525,54
2024 Late 1st,FA,PICK,,5476,54
Deebo Samuel,SFO,WR,28,5457,54
Jayden Daniels,WAS,QB,23,5447,54
T.J. Hockenson,MIN,TE,27,5409,53
Jayden Reed,GBP,WR,24,5372,53
Rachaad White,TBB,RB,25,5345,53
2026 Mid 1st,FA,PICK,,5340,53
2025 Late 1st,FA,PICK,,5329,52
Josh Jacobs,GBP,RB,26,5200,51
Rashee Rice,KCC,WR,24,5190,51
Trey Benson,ARI,RB,22,5160,51
Keon Coleman,BUF,WR,21,5095,50
Mike Evans,TBB,WR,30,5012,49
Davante Adams,LVR,WR,31,4996,49
Travis Kelce,KCC,TE,34,4936,49
Rhamondre Stevenson,NEP,RB,26,4771,47
Trevor Lawrence,JAC,QB,24,4764,47
2026 Late 1st,FA,PICK,,4721,46
Christian Kirk,JAC,WR,27,4717,46
Ricky Pearsall,SFO,WR,23,4655,46
Derrick Henry,BAL,RB,30,4654,46
Cooper Kupp,LAR,WR,31,4639,46
Amari Cooper,CLE,WR,30,4607,45
Terry McLaurin,WAS,WR,28,4588,45
Zamir White,LVR,RB,24,4560,45
D'Andre Swift,CHI,RB,25,4551,45
Christian Watson,GBP,WR,25,4544,45
