Player,Team,Position,Age,KTC Trade Value,KTC_normalized
Justin Jefferson,MIN,WR,25,9999,100
Ja'Marr Chase,CIN,WR,24,9999,100
CeeDee Lamb,DAL,WR,25,9984,99
Bijan Robinson,ATL,RB,22,9495,94
Amon-Ra St. Brown,DET,WR,24,9422,94
Marvin Harrison Jr.,ARI,WR,21,8970,89
Breece Hall,NYJ,RB,23,8825,88
Jahmyr Gibbs,DET,RB,22,8479,84
Christian McCaffrey,SFO,RB,28,8031,80
Puka Nacua,LAR,WR,23,7963,79
Garrett Wilson,NYJ,WR,24,7932,79
A.J. Brown,PHI,WR,27,7784,77
Josh Allen,BUF,QB,28,7767,77
Sam LaPorta,DET,TE,23,7765,77
Malik Nabers,NYG,WR,20,7730,77
Patrick Mahomes,KCC,QB,28,7675,76
2024 Early 1st,FA,PICK,,7259,72
Chris Olave,NOS,WR,24,7131,71
Jaylen Waddle,MIA,WR,25,7092,70
Tyreek Hill,MIA,WR,30,7082,70
Drake London,ATL,WR,23,7060,70
C.J. Stroud,HOU,QB,22,6926,68
Jonathan Taylor,IND,RB,25,6911,68
Rome Odunze,CHI,WR,22,6804,67
Lamar Jackson,BAL,QB,27,6766,67
Jalen Hurts,PHI,QB,25,6739,67
2025 Early 1st,FA,PICK,,6738,67
Brandon Aiyuk,SFO,WR,26,6698,66
Nico Collins,HOU,WR,25,6672,66
DeVonta Smith,PHI,WR,25,6658,66
De'Von Achane,MIA,RB,22,6615,65
Anthony Richardson,IND,QB,22,6511,64
Travis Etienne,JAC,RB,25,6487,64
Trey McBride,ARI,TE,24,6464,64
Dalton Kincaid,BUF,TE,24,6413,63
Brock Bowers,LVR,TE,21,6285,62
Saquon Barkley,PHI,RB,27,6279,62
Kyren Williams,LAR,RB,23,6233,61
2024 Mid 1st,FA,PICK,,6207,61
DK Metcalf,SEA,WR,26,6205,61
Zay Flowers,BAL,WR,23,6174,61
Tank Dell,HOU,WR,24,6143,61
D.J. Moore,CHI,WR,27,6135,60
Tee Higgins,CIN,WR,25,6129,60
Michael Pittman,IND,WR,26,6126,60
Joe Burrow,CIN,QB,27,6118,60
Jonathon Brooks,CAR,RB,21,6118,60
Kyle Pitts,ATL,TE,23,6088,60
George Pickens,PIT,WR,23,6031,59
2026 Early 1st,FA,PICK,,5996,59
Jaxon Smith-Njigba,SEA,WR,22,5983,59
Kenneth Walker III,SEA,RB,23,5959,59
Caleb Williams,CHI,QB,22,5935,58
Isiah Pacheco,KCC,RB,25,5875,58
Jordan Love,GBP,QB,25,5840,58
2025 Mid 1st,FA,PICK,,5839,57
James Cook,BUF,RB,24,5788,57
Justin Herbert,LAC,QB,26,5772,57
Mark Andrews,BAL,TE,28,5747,57
Brian Thomas Jr.,JAC,WR,21,5678,56
Kyler Murray,ARI,QB,26,5579,55
Xavier Worthy,KCC,WR,21,5574,55
Ladd McConkey,LAC,WR,22,5569,55
Deebo Samuel,SFO,WR,28,5507,54
Jordan Addison,MIN,WR,22,5491,54
2024 Late 1st,FA,PICK,,5481,54
Jayden Daniels,WAS,QB,23,5420,53
T.J. Hockenson,MIN,TE,27,5415,53
Rachaad White,TBB,RB,25,5349,53
2025 Late 1st,FA,PICK,,5334,52
2026 Mid 1st,FA,PICK,,5323,52
Jayden Reed,GBP,WR,24,5304,52
Josh Jacobs,GBP,RB,26,5213,51
Rashee Rice,KCC,WR,24,5168,51
Trey Benson,ARI,RB,22,5132,50
Keon Coleman,BUF,WR,21,5104,50
Davante Adams,LVR,WR,31,5044,49
Mike Evans,TBB,WR,30,5020,49
Travis Kelce,KCC,TE,34,4996,49
Trevor Lawrence,JAC,QB,24,4794,47
Rhamondre Stevenson,NEP,RB,26,4765,47
Christian Kirk,JAC,WR,27,4737,46
2026 Late 1st,FA,PICK,,4712,46
Derrick Henry,BAL,RB,30,4683,46
Ricky Pearsall,SFO,WR,23,4664,46
Cooper Kupp,LAR,WR,31,4662,46
Terry McLaurin,WAS,WR,28,4592,45
D'Andre Swift,CHI,RB,25,4586,45
Zamir White,LVR,RB,24,4570,45
Brock Purdy,SFO,QB,24,4526,44
Christian Watson,GBP,WR,25,4526,44
Amari Cooper,CLE,WR,30,4490,44
Chris Godwin,TBB,WR,28,4427,43
2024 Early 2nd,FA,PICK,,4413,43
Joe Mixon,HOU,RB,28,4392,43
George Kittle,SFO,TE,30,4372,43
Dak Prescott,DAL,QB,30,4365,43
Tyjae Spears,TEN,RB,23,4361,43
David Montgomery,DET,RB,27,4327,42
Stefon Diggs,HOU,WR,30,4295,42
Adonai Mitchell,IND,WR,21,4287,42
Tua Tagovailoa,MIA,QB,26,4273,42
Jaylen Warren,PIT,RB,25,4233,41
Marquise Brown,KCC,WR,27,4233,41
Xavier Legette,CAR,WR,23,4227,41
Blake Corum,LAR,RB,23,4206,41
Diontae Johnson,CAR,WR,28,4193,41
Jake Ferguson,DAL,TE,25,4164,41
Evan Engram,JAC,TE,29,4161,41
Najee Harris,PIT,RB,26,4151,40
Brian Robinson,WAS,RB,25,4129,40
2025 Early 2nd,FA,PICK,,4106,40
David Njoku,CLE,TE,28,4096,40
Calvin Ridley,TEN,WR,29,4073,40
Alvin Kamara,NOS,RB,29,4054,39
Jameson Williams,DET,WR,23,4045,39
Kendre Miller,NOS,RB,22,3956,38
Zach Charbonnet,SEA,RB,23,3936,38
Drake Maye,NEP,QB,21,3893,38
2024 Mid 2nd,FA,PICK,,3892,38
Ja'Lynn Polk,NEP,WR,22,3878,38
MarShawn Lloyd,GBP,RB,23,3875,38
Tony Pollard,TEN,RB,27,3819,37
Josh Downs,IND,WR,22,3809,37
Romeo Doubs,GBP,WR,24,3799,37
Jared Goff,DET,QB,29,3768,37
Dontayvion Wicks,GBP,WR,23,3737,36
Jaylen Wright,MIA,RB,21,3735,36
Javonte Williams,DEN,RB,24,3698,36
Aaron Jones,MIN,RB,29,3664,36
Keenan Allen,CHI,WR,32,3654,35
Zack Moss,CIN,RB,26,3648,35
2025 Mid 2nd,FA,PICK,,3612,35
Pat Freiermuth,PIT,TE,25,3594,35
2024 Late 2nd,FA,PICK,,3584,35
