Player,Team,Position,Age,KTC Trade Value,KTC_normalized
CeeDee Lamb,DAL,WR,25,9995,100
Justin Jefferson,MIN,WR,25,9993,99
Ja'Marr Chase,CIN,WR,24,9980,99
Bijan Robinson,ATL,RB,22,9689,96
Amon-Ra St. Brown,DET,WR,24,9491,94
Marvin Harrison Jr.,ARI,WR,22,9078,90
Breece Hall,NYJ,RB,23,8883,88
Jahmyr Gibbs,DET,RB,22,8334,83
Garrett Wilson,NYJ,WR,24,7959,79
Christian McCaffrey,SFO,RB,28,7959,79
Malik Nabers,NYG,WR,21,7827,78
Puka Nacua,LAR,WR,23,7790,77
A.J. Brown,PHI,WR,27,7705,76
Patrick Mahomes,KCC,QB,28,7684,76
Josh Allen,BUF,QB,28,7652,76
Sam LaPorta,DET,TE,23,7554,75
Tyreek Hill,MIA,WR,30,7359,73
2024 Early 1st,FA,PICK,,7244,72
Jaylen Waddle,MIA,WR,25,7067,70
Drake London,ATL,WR,23,7002,69
Jonathan Taylor,IND,RB,25,6992,69
Chris Olave,NOS,WR,24,6970,69
Lamar Jackson,BAL,QB,27,6885,68
C.J. Stroud,HOU,QB,22,6816,67
DeVonta Smith,PHI,WR,25,6757,67
De'Von Achane,MIA,RB,22,6756,67
Brandon Aiyuk,SFO,WR,26,6730,67
Nico Collins,HOU,WR,25,6714,66
Rome Odunze,CHI,WR,22,6708,66
Jalen Hurts,PHI,QB,26,6697,66
2025 Early 1st,FA,PICK,,6696,66
Anthony Richardson,IND,QB,22,6613,65
Travis Etienne,JAC,RB,25,6496,64
Trey McBride,ARI,TE,24,6457,64
D.J. Moore,CHI,WR,27,6340,63
DK Metcalf,SEA,WR,26,6239,62
Kyren Williams,LAR,RB,24,6213,61
Saquon Barkley,PHI,RB,27,6210,61
Kyle Pitts,ATL,TE,23,6182,61
Dalton Kincaid,BUF,TE,24,6179,61
Brock Bowers,LVR,TE,21,6149,61
Joe Burrow,CIN,QB,27,6128,60
2024 Mid 1st,FA,PICK,,6122,60
Michael Pittman,IND,WR,26,6120,60
Tank Dell,HOU,WR,24,6103,60
George Pickens,PIT,WR,23,6061,60
Caleb Williams,CHI,QB,22,6027,59
Zay Flowers,BAL,WR,23,6010,59
2026 Early 1st,FA,PICK,,5985,59
Kenneth Walker III,SEA,RB,23,5933,58
Jonathon Brooks,CAR,RB,21,5923,58
Isiah Pacheco,KCC,RB,25,5891,58
Jaxon Smith-Njigba,SEA,WR,22,5883,58
Tee Higgins,CIN,WR,25,5862,58
Mark Andrews,BAL,TE,28,5790,57
2025 Mid 1st,FA,PICK,,5789,57
Jordan Love,GBP,QB,25,5770,57
Kyler Murray,ARI,QB,27,5638,56
James Cook,BUF,RB,24,5616,55
Deebo Samuel,SFO,WR,28,5601,55
Justin Herbert,LAC,QB,26,5586,55
Xavier Worthy,KCC,WR,21,5569,55
Ladd McConkey,LAC,WR,22,5520,54
Jayden Daniels,WAS,QB,23,5498,54
2024 Late 1st,FA,PICK,,5490,54
Jordan Addison,MIN,WR,22,5451,54
Brian Thomas Jr.,JAC,WR,21,5431,53
Jayden Reed,GBP,WR,24,5414,53
T.J. Hockenson,MIN,TE,27,5370,53
Rachaad White,TBB,RB,25,5282,52
Rashee Rice,KCC,WR,24,5273,52
2025 Late 1st,FA,PICK,,5269,52
2026 Mid 1st,FA,PICK,,5249,52
Keon Coleman,BUF,WR,21,5146,51
Davante Adams,LVR,WR,31,5130,50
Josh Jacobs,GBP,RB,26,5121,50
Travis Kelce,KCC,TE,34,5077,50
Trey Benson,ARI,RB,22,5075,50
Mike Evans,TBB,WR,31,5022,49
Cooper Kupp,LAR,WR,31,4854,48
2026 Late 1st,FA,PICK,,4795,47
Derrick Henry,BAL,RB,30,4727,46
Trevor Lawrence,JAC,QB,24,4666,46
Christian Kirk,JAC,WR,27,4624,45
Christian Watson,GBP,WR,25,4616,45
George Kittle,SFO,TE,30,4603,45
Rhamondre Stevenson,NEP,RB,26,4545,44
Terry McLaurin,WAS,WR,28,4541,44
Tyjae Spears,TEN,RB,23,4533,44
Amari Cooper,CLE,WR,30,4494,44
Stefon Diggs,HOU,WR,30,4474,44
Brock Purdy,SFO,QB,24,4459,44
Chris Godwin,TBB,WR,28,4433,43
