Player,Team,Position,Age,KTC Trade Value,KTC_normalized
Chase Brown,CIN,RB,24,3499,34
Jerome Ford,CLE,RB,24,3491,34
2026 Early 2nd,FA,PICK,,3485,34
Troy Franklin,DEN,WR,21,3484,34
Ben Sinnott,WAS,TE,22,3476,34
Nick Chubb,CLE,RB,28,3398,33
James Conner,ARI,RB,29,3397,33
Luke Musgrave,GBP,TE,23,3354,33
Jerry Jeudy,CLE,WR,25,3339,33
Rashid Shaheed,NOS,WR,25,3328,32
Cole Kmet,CHI,TE,25,3320,32
Devin Singletary,NYG,RB,26,3319,32
Courtland Sutton,DEN,WR,28,3279,32
2025 Late 2nd,FA,PICK,,3268,32
2026 Mid 2nd,FA,PICK,,3244,32
Jakobi Meyers,LVR,WR,27,3237,31
Demario Douglas,NEP,WR,23,3222,31
Dallas Goedert,PHI,TE,29,3205,31
Dalton Schultz,HOU,TE,28,3187,31
Isaiah Likely,BAL,TE,24,3165,31
Josh Palmer,LAC,WR,24,3126,30
Raheem Mostert,MIA,RB,32,3121,30
DeAndre Hopkins,TEN,WR,32,3074,30
Quentin Johnston,LAC,WR,22,3050,30
Will Levis,TEN,QB,25,3044,30
Jaleel McLaughlin,DEN,RB,23,3030,29
Javon Baker,NEP,WR,22,2994,29
Curtis Samuel,BUF,WR,27,2963,29
Marvin Mims,DEN,WR,22,2945,29
Michael Wilson,ARI,WR,24,2919,28
Michael Penix Jr.,ATL,QB,24,2917,28
Malachi Corley,NYJ,WR,22,2910,28
Kirk Cousins,ATL,QB,35,2877,28
Keaton Mitchell,BAL,RB,22,2872,28
2026 Late 2nd,FA,PICK,,2870,28
Kimani Vidal,LAC,RB,22,2862,28
Luke McCaffrey,WAS,WR,23,2826,27
Gus Edwards,LAC,RB,29,2786,27
Jalen McMillan,TBB,WR,22,2785,27
Bo Nix,DEN,QB,24,2776,27
Deshaun Watson,CLE,QB,28,2764,27
Michael Mayer,LVR,TE,23,2756,27
Gabriel Davis,JAC,WR,25,2749,27
Audric Estime,DEN,RB,20,2746,27
Roschon Johnson,CHI,RB,23,2734,26
Matthew Stafford,LAR,QB,36,2707,26
Bucky Irving,TBB,RB,21,2689,26
Baker Mayfield,TBB,QB,29,2688,26
Tyler Lockett,SEA,WR,31,2685,26
Austin Ekeler,WAS,RB,29,2654,26
Braelon Allen,NYJ,RB,20,2637,25
2024 Early 3rd,FA,PICK,,2626,25
Rashod Bateman,BAL,WR,24,2625,25
J.K. Dobbins,LAC,RB,25,2578,25
Wan'Dale Robinson,NYG,WR,23,2570,25
Tucker Kraft,GBP,TE,23,2550,25
Tyler Allgeier,ATL,RB,24,2541,24
Ray Davis,BUF,RB,24,2511,24
Rico Dowdle,DAL,RB,26,2502,24
Justin Fields,PIT,QB,25,2495,24
Ja'Tavion Sanders,CAR,TE,21,2483,24
2024 Mid 3rd,FA,PICK,,2439,23
Jalin Hyatt,NYG,WR,22,2431,23
Tyrone Tracy,NYG,RB,24,2422,23
2025 Early 3rd,FA,PICK,,2421,23
Will Shipley,PHI,RB,21,2380,23
Mike Williams,NYJ,WR,29,2366,23
Ty Chandler,MIN,RB,26,2319,22
Darnell Mooney,ATL,WR,26,2274,22
Antonio Gibson,NEP,RB,26,2272,22
Cade Otton,TBB,TE,25,2253,22
Dameon Pierce,HOU,RB,24,2222,21
Chuba Hubbard,CAR,RB,25,2214,21
Khalil Herbert,CHI,RB,26,2212,21
Ezekiel Elliott,DAL,RB,29,2204,21
Chigoziem Okonkwo,TEN,TE,24,2201,21
2024 Late 3rd,FA,PICK,,2181,21
2025 Mid 3rd,FA,PICK,,2177,21
Tank Bigsby,JAC,RB,22,2177,21
Greg Dulcich,DEN,TE,24,2168,21
Aaron Rodgers,NYJ,QB,40,2141,20
Devontez Walker,BAL,WR,23,2141,20
Rondale Moore,ATL,WR,24,2116,20
Noah Fant,SEA,TE,26,2072,20
Malik Washington,MIA,WR,23,2035,19
2026 Early 3rd,FA,PICK,,2023,19
Brandin Cooks,DAL,WR,30,2015,19
Jonathan Mingo,CAR,WR,23,1986,19
Elijah Mitchell,SFO,RB,26,1981,19
Daniel Jones,NYG,QB,27,1973,19
Isaac Guerendo,SFO,RB,24,1970,19
Brenden Rice,LAC,WR,22,1963,19
Daniel Bellinger,NYG,TE,23,1958,19
Trey Palmer,TBB,WR,23,1935,18
Elijah Moore,CLE,WR,24,1916,18
Theo Johnson,NYG,TE,23,1883,18
2025 Late 3rd,FA,PICK,,1881,18
Geno Smith,SEA,QB,33,1870,18
2026 Mid 3rd,FA,PICK,,1860,18
A.T. Perry,NOS,WR,24,1832,17
Rasheen Ali,BAL,RB,23,1813,17
Jelani Woods,IND,TE,25,1772,17
Dylan Laube,LVR,RB,24,1769,17
Treylon Burks,TEN,WR,24,1728,16
Hunter Henry,NEP,TE,29,1727,16
Tyler Boyd,TEN,WR,29,1722,16
2026 Late 3rd,FA,PICK,,1710,16
Russell Wilson,PIT,QB,35,1704,16
Adam Thielen,CAR,WR,33,1700,16
2024 Early 4th,FA,PICK,,1673,16
Xavier Gipson,NYJ,WR,23,1667,16
Dawson Knox,BUF,TE,27,1663,16
Cedric Tillman,CLE,WR,24,1653,16
Greg Dortch,ARI,WR,26,1652,16
Zay Jones,ARI,WR,29,1650,16
Luke Schoonmaker,DAL,TE,25,1590,15
D.J. Chark,LAC,WR,27,1586,15
Evan Hull,IND,RB,23,1585,15
Derek Carr,NOS,QB,33,1579,15
Sam Howell,SEA,QB,23,1576,15
Kendrick Bourne,NEP,WR,28,1573,15
