Player,Team,Position,Age,KTC Trade Value,KTC_normalized
Justin Jefferson,MIN,WR,25,9999,99
Ja'Marr Chase,CIN,WR,24,9999,99
CeeDee Lamb,DAL,WR,25,9998,99
Bijan Robinson,ATL,RB,22,9480,94
Amon-Ra St. Brown,DET,WR,24,9306,93
Marvin Harrison Jr.,ARI,WR,21,8916,89
Breece Hall,NYJ,RB,23,8871,88
Jahmyr Gibbs,DET,RB,22,8368,83
Puka Nacua,LAR,WR,23,8108,80
Christian McCaffrey,SFO,RB,28,7919,79
Garrett Wilson,NYJ,WR,24,7875,78
Josh Allen,BUF,QB,28,7869,78
Sam LaPorta,DET,TE,23,7818,78
A.J. Brown,PHI,WR,27,7777,77
Patrick Mahomes,KCC,QB,28,7706,76
Malik Nabers,NYG,WR,20,7668,76
2024 Early 1st,FA,PICK,,7310,72
Chris Olave,NOS,WR,24,7138,71
Jaylen Waddle,MIA,WR,25,7134,71
Tyreek Hill,MIA,WR,30,7123,71
Drake London,ATL,WR,23,7047,70
Jonathan Taylor,IND,RB,25,6972,69
C.J. Stroud,HOU,QB,22,6962,69
Rome Odunze,CHI,WR,22,6772,67
Brandon Aiyuk,SFO,WR,26,6739,67
2025 Early 1st,FA,PICK,,6732,67
Nico Collins,HOU,WR,25,6713,66
Jalen Hurts,PHI,QB,25,6703,66
Lamar Jackson,BAL,QB,27,6682,66
DeVonta Smith,PHI,WR,25,6677,66
De'Von Achane,MIA,RB,22,6569,65
Travis Etienne,JAC,RB,25,6516,64
DK Metcalf,SEA,WR,26,6465,64
Anthony Richardson,IND,QB,22,6455,64
Trey McBride,ARI,TE,24,6441,64
Dalton Kincaid,BUF,TE,24,6382,63
Brock Bowers,LVR,TE,21,6263,62
2024 Mid 1st,FA,PICK,,6246,62
Michael Pittman,IND,WR,26,6235,62
Kyren Williams,LAR,RB,23,6192,61
Joe Burrow,CIN,QB,27,6191,61
Saquon Barkley,PHI,RB,27,6187,61
Tee Higgins,CIN,WR,25,6151,61
D.J. Moore,CHI,WR,27,6149,61
George Pickens,PIT,WR,23,6079,60
Tank Dell,HOU,WR,24,6078,60
Jonathon Brooks,CAR,RB,21,6069,60
Kyle Pitts,ATL,TE,23,6022,60
Zay Flowers,BAL,WR,23,6003,59
2026 Early 1st,FA,PICK,,5966,59
Caleb Williams,CHI,QB,22,5949,59
Jordan Addison,MIN,WR,22,5940,59
Kenneth Walker III,SEA,RB,23,5883,58
Jaxon Smith-Njigba,SEA,WR,22,5850,58
Mark Andrews,BAL,TE,28,5842,58
2025 Mid 1st,FA,PICK,,5838,58
Isiah Pacheco,KCC,RB,25,5811,57
Justin Herbert,LAC,QB,26,5790,57
Jordan Love,GBP,QB,25,5780,57
Brian Thomas Jr.,JAC,WR,21,5713,56
James Cook,BUF,RB,24,5646,56
Xavier Worthy,KCC,WR,21,5624,56
Ladd McConkey,LAC,WR,22,5595,55
Kyler Murray,ARI,QB,26,5532,55
Rachaad White,TBB,RB,25,5526,55
Deebo Samuel,SFO,WR,28,5509,54
2024 Late 1st,FA,PICK,,5477,54
Jayden Reed,GBP,WR,24,5405,53
Jayden Daniels,WAS,QB,23,5389,53
2025 Late 1st,FA,PICK,,5363,53
T.J. Hockenson,MIN,TE,27,5355,53
2026 Mid 1st,FA,PICK,,5262,52
Trey Benson,ARI,RB,22,5207,51
Rashee Rice,KCC,WR,24,5098,50
Josh Jacobs,GBP,RB,26,5096,50
